Time(s),totalNaloxone_mg,m_AfferentChemoreceptor_Hz ,m_CentralFrequencyDelta_Per_min ,m_CentralPressureDelta_cmH2O ,m_PeripheralFrequencyDelta_Per_min ,m_PeripheralPressureDelta_cmH2O ,m_OxygenAutoregulatorHeart ,m_OxygenAutoregulatorMuscle ,OxygenSaturation,HeartRate(1/min),Fentanyl-PlasmaConcentration(ug/mL),Naloxone-PlasmaConcentration,Fentanyl-EffectSiteConcentration(ug/mL),Naloxone-EffectSiteConcentration,ArterialBloodPH,CardiacOutput(mL/min),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),RespirationRate(1/min),TidalVolume(mL),HeartStrokeVolume(mL),EndTidalCarbonDioxideFraction,TotalAlveolarVentilation(L/min),SystemicVascularResistance(mmHg_s/mL),BloodVolume(mL),MeanUrineOutput(mL/hr),NeuromuscularBlockLevel
1,0,3.49988,0.00108718,0.00100952,-0.00281698,-0.000938995,3.29E-06,0,0.979062,72,0.0307597,0,3.76E-05,0,7.41232,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.5,60.9548,0
1,0,3.49988,0.00108718,0.00100952,-0.00281698,-0.000938995,3.29E-06,0,0.979062,72,0.0307597,0,3.76E-05,0,7.41232,5782.43,95.8339,114.638,74.4068,16.0428,514.497,80.3115,0.0433569,7.03376,0.953517,5532.5,60.9548,0
2,0,3.49924,0.0011582,0.00107547,-0.00279242,-0.000930808,0,0,0.979058,72.3733,0.0600308,0,0.000148115,0,7.41229,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948978,5532.51,60.6791,0
2,0,3.49924,0.0011582,0.00107547,-0.00279242,-0.000930808,0,0,0.979058,72.3733,0.0600308,0,0.000148115,0,7.41229,5808.58,95.8085,114.696,74.4248,16.0428,514.497,80.2586,0.0433569,7.03376,0.948978,5532.51,60.6791,0
3,0,3.50049,0.00129585,0.00120329,-0.00275892,-0.00091964,0,0,0.979041,72.3614,0.086893,0,0.000326284,0,7.4121,5809.45,95.8083,114.695,74.4126,16.0428,514.497,80.2838,0.0433569,7.03376,0.948841,5532.52,60.8012,0
3,0,3.50049,0.00129585,0.00120329,-0.00275892,-0.00091964,0,0,0.979041,72.3614,0.086893,0,0.000326284,0,7.4121,5809.45,95.8083,114.695,74.4126,16.0428,514.497,80.2838,0.0433569,7.03376,0.948841,5532.52,60.8012,0
4,0,3.50113,0.00142923,0.00132714,-0.00269133,-0.000897109,3.57E-06,0,0.979053,72.3293,0.111824,0,0.000566778,0,7.41223,5809.19,95.8168,114.701,74.4093,16.0428,514.497,80.3158,0.0433569,7.03376,0.94898,5532.52,61.1848,0
4,0,3.50113,0.00142923,0.00132714,-0.00269133,-0.000897109,3.57E-06,0,0.979053,72.3293,0.111824,0,0.000566778,0,7.41223,5809.19,95.8168,114.701,74.4093,16.0428,514.497,80.3158,0.0433569,7.03376,0.94898,5532.52,61.1848,0
5,0,3.50038,0.00150162,0.00139436,-0.00262923,-0.00087641,1.21E-05,0,0.979059,72.3075,0.13514,0,0.00086473,0,7.41231,5809.42,95.8289,114.713,74.4145,16.0428,514.523,80.3432,0.0433581,7.03411,0.949072,5532.53,61.3602,0
5,0,3.50038,0.00150162,0.00139436,-0.00262923,-0.00087641,1.21E-05,0,0.979059,72.3075,0.13514,0,0.00086473,0,7.41231,5809.42,95.8289,114.713,74.4145,16.0428,514.523,80.3432,0.0433581,7.03411,0.949072,5532.53,61.3602,0
