Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,m_AfferentBaroreceptorAortic_Hz ,m_AfferentBaroreceptorCarotid_Hz ,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,27.149,25.0748,73.7705,-1.$,7.35642,5897.15,0.999956,95.4505,113.305,74.8417,0.0441371,13.9535,146.255,526.452,0.931188,37.3989,4881.35,71.587,0,0.000802674,125.566,0
1,0,0,0,0,0,27.149,25.0748,73.7705,-1.$,7.35642,5897.15,0.999956,95.4505,113.305,74.8417,0.0441371,13.9535,146.255,526.452,0.931188,37.3989,4881.35,71.587,0,0.000802674,125.566,0
2,0,0,0,0,0,26.9019,24.7469,72.4873,0,7.35622,5805.06,0.999912,94.3604,112.711,73.9194,0.0441371,13.9535,121.517,526.452,0.934723,37.3991,4878.84,71.6697,0,0.000802631,101.523,0
2,0,0,0,0,0,26.9019,24.7469,72.4873,0,7.35622,5805.06,0.999912,94.3604,112.711,73.9194,0.0441371,13.9535,121.517,526.452,0.934723,37.3991,4878.84,71.6697,0,0.000802631,101.523,0
3,0,0,0,0,0,26.7737,24.6084,72.5927,0,7.3559,5818.18,0.999868,94.1053,112.436,73.5459,0.0441371,13.9535,99.5678,526.452,0.93001,37.3992,4876.39,71.4644,0,0.000802631,82.2521,0
3,0,0,0,0,0,26.7737,24.6084,72.5927,0,7.3559,5818.18,0.999868,94.1053,112.436,73.5459,0.0441371,13.9535,99.5678,526.452,0.93001,37.3992,4876.39,71.4644,0,0.000802631,82.2521,0
4,0,0,0,0,0,26.7272,24.5862,72.8538,0,7.35589,5835.67,0.999824,94.0038,112.376,73.4368,0.0441371,13.9535,82.009,526.452,0.926215,37.3992,4873.98,71.0454,0,0.00080266,67.6035,1.77E-17
4,0,0,0,0,0,26.7272,24.5862,72.8538,0,7.35589,5835.67,0.999824,94.0038,112.376,73.4368,0.0441371,13.9535,82.009,526.452,0.926215,37.3992,4873.98,71.0454,0,0.00080266,67.6035,1.77E-17
5,0,0,0,0,0,26.7303,24.6142,73.2358,0,7.35618,5863.32,0.99978,94.4427,112.417,73.3844,0.0441371,13.9535,121.433,526.452,0.926409,37.3992,4871.57,70.6591,0,0.00080268,107.458,0
5,0,0,0,0,0,26.7303,24.6142,73.2358,0,7.35618,5863.32,0.99978,94.4427,112.417,73.3844,0.0441371,13.9535,121.433,526.452,0.926409,37.3992,4871.57,70.6591,0,0.00080268,107.458,0
6,0,0,0,0,0,27.01,24.8884,73.3436,0,7.3561,5831.55,0.999736,94.8523,112.895,74.215,0.0441632,13.9535,146.704,526.578,0.935691,37.3995,4869.01,70.9594,0,0.00080258,125.365,-3.53E-17
6,0,0,0,0,0,27.01,24.8884,73.3436,0,7.3561,5831.55,0.999736,94.8523,112.895,74.215,0.0441632,13.9535,146.704,526.578,0.935691,37.3995,4869.01,70.9594,0,0.00080258,125.365,-3.53E-17
7,0,0,0,0,0,27.0892,24.9442,73.4235,0,7.35574,5822.49,0.999692,94.9548,113.018,74.4419,0.0441632,13.9535,118.474,526.578,0.938224,37.3996,4866.48,71.1533,0,0.000802503,98.6176,0
7,0,0,0,0,0,27.0892,24.9442,73.4235,0,7.35574,5822.49,0.999692,94.9548,113.018,74.4419,0.0441632,13.9535,118.474,526.578,0.938224,37.3996,4866.48,71.1533,0,0.000802503,98.6176,0
8,0,0,0,0,0,27.0259,24.9056,73.2981,0,7.35566,5805.49,0.999648,94.9422,112.962,74.4633,0.0441632,13.9535,95.0426,526.578,0.940859,37.3997,4864.03,71.0276,0,0.000802487,78.414,0
8,0,0,0,0,0,27.0259,24.9056,73.2981,0,7.35566,5805.49,0.999648,94.9422,112.962,74.4633,0.0441632,13.9535,95.0426,526.578,0.940859,37.3997,4864.03,71.0276,0,0.000802487,78.414,0
9,0,0,0,0,0,26.9466,24.8439,73.1384,0,7.35583,5787.4,0.999604,94.4046,112.853,74.3458,0.0441632,13.9535,78.2481,526.578,0.938255,37.3997,4861.63,70.5992,0,0.000802527,64.4559,-1.77E-17
9,0,0,0,0,0,26.9466,24.8439,73.1384,0,7.35583,5787.4,0.999604,94.4046,112.853,74.3458,0.0441632,13.9535,78.2481,526.578,0.938255,37.3997,4861.63,70.5992,0,0.000802527,64.4559,-1.77E-17
10,0,0,0,0,0,26.597,24.4544,73.0651,0,7.35592,5822.75,0.99956,93.8089,112.154,73.3301,0.0442181,13.9535,128.594,526.686,0.926493,37.3997,4859.22,70.2626,0,0.000802554,113.089,0
10,0,0,0,0,0,26.597,24.4544,73.0651,0,7.35592,5822.75,0.99956,93.8089,112.154,73.3301,0.0442181,13.9535,128.594,526.686,0.926493,37.3997,4859.22,70.2626,0,0.000802554,113.089,0
11,0,0,0,0,0,26.6797,24.4836,73.2976,0,7.35553,5840.02,0.999516,94.2639,112.182,73.2983,0.0442181,13.9535,144.729,526.686,0.928454,37.3998,4856.67,70.5319,0,0.000802472,122.751,0
11,0,0,0,0,0,26.6797,24.4836,73.2976,0,7.35553,5840.02,0.999516,94.2639,112.182,73.2983,0.0442181,13.9535,144.729,526.686,0.928454,37.3998,4856.67,70.5319,0,0.000802472,122.751,0
12,0,0,0,0,0,26.9051,24.7642,73.5021,0,7.35539,5817.95,0.999472,94.6748,112.67,74.1208,0.0442181,13.9535,115.328,526.686,0.936236,37.3999,4854.15,70.6713,0,0.000802414,95.6083,0
12,0,0,0,0,0,26.9051,24.7642,73.5021,0,7.35539,5817.95,0.999472,94.6748,112.67,74.1208,0.0442181,13.9535,115.328,526.686,0.936236,37.3999,4854.15,70.6713,0,0.000802414,95.6083,0
13,0,0,0,0,0,26.9336,24.8221,73.5792,0,7.35554,5811.44,0.999428,94.7852,112.792,74.3421,0.0442181,13.9535,92.5767,526.686,0.938447,37.3999,4851.71,70.5146,0,0.000802415,76.1913,-1.77E-17
13,0,0,0,0,0,26.9336,24.8221,73.5792,0,7.35554,5811.44,0.999428,94.7852,112.792,74.3421,0.0442181,13.9535,92.5767,526.686,0.938447,37.3999,4851.71,70.5146,0,0.000802415,76.1913,-1.77E-17
