Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,m_AfferentBaroreceptorAortic_Hz ,m_AfferentBaroreceptorCarotid_Hz ,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,27.2327,25.1669,72,-1.$,7.35643,5749.09,0.999956,95.2993,113.468,74.5121,0.0441371,13.9535,147.413,526.452,0.953605,37.3989,4883.35,71.646,0,0.000802664,124.349,7.07E-17
1,0,0,0,0,0,27.2327,25.1669,72,-1.$,7.35643,5749.09,0.999956,95.2993,113.468,74.5121,0.0441371,13.9535,147.413,526.452,0.953605,37.3989,4883.35,71.646,0,0.000802664,124.349,7.07E-17
2,0,0,0,0,0,27.2583,25.1393,74.2822,0,7.35623,5926.91,0.999912,95.664,113.416,75.3668,0.0441371,13.9535,123.053,526.452,0.928688,37.3991,4882.79,71.8476,0,0.000802604,101.013,0
2,0,0,0,0,0,27.2583,25.1393,74.2822,0,7.35623,5926.91,0.999912,95.664,113.416,75.3668,0.0441371,13.9535,123.053,526.452,0.928688,37.3991,4882.79,71.8476,0,0.000802604,101.013,0
3,0,0,0,0,0,27.2207,25.0998,72.5359,0,7.35592,5790.84,0.999868,95.086,113.341,74.3877,0.0441371,13.9535,101.382,526.452,0.944549,37.3993,4882.25,71.7834,0,0.00080259,82.2283,-1.77E-17
3,0,0,0,0,0,27.2207,25.0998,72.5359,0,7.35592,5790.84,0.999868,95.086,113.341,74.3877,0.0441371,13.9535,101.382,526.452,0.944549,37.3993,4882.25,71.7834,0,0.00080259,82.2283,-1.77E-17
4,0,0,0,0,0,27.1904,25.0948,72.5708,0,7.35591,5795.42,0.999824,95.0667,113.328,74.3499,0.0441371,13.9535,83.9506,526.452,0.94362,37.3994,4881.73,71.5114,0,0.000802611,67.8487,0
4,0,0,0,0,0,27.1904,25.0948,72.5708,0,7.35591,5795.42,0.999824,95.0667,113.328,74.3499,0.0441371,13.9535,83.9506,526.452,0.94362,37.3994,4881.73,71.5114,0,0.000802611,67.8487,0
5,0,0,0,0,0,27.1897,25.1181,72.5953,0,7.35619,5802.06,0.99978,95.0924,113.368,74.3502,0.0441371,13.9535,111.489,526.452,0.942839,37.3994,4881.2,71.1971,0,0.000802639,97.3658,0
5,0,0,0,0,0,27.1897,25.1181,72.5953,0,7.35619,5802.06,0.99978,95.0924,113.368,74.3502,0.0441371,13.9535,111.489,526.452,0.942839,37.3994,4881.2,71.1971,0,0.000802639,97.3658,0
