Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0674881,72.1111,-1.$,7.35863,5734.79,0.999956,96.8575,115.197,75.6809,0.0419274,16.5746,92.5674,404.636,0.971925,37.6126,4375.29,77.0437,0,0.000798483,75.8528,0
1,0,0,0,0,0,0.0674881,72.1111,-1.$,7.35863,5734.79,0.999956,96.8575,115.197,75.6809,0.0419274,16.5746,92.5674,404.636,0.971925,37.6126,4375.29,77.0437,0,0.000798483,75.8528,0
2,0,0,0,0,0,0.068163,74.2065,0,7.35874,5935.47,0.999912,96.0174,113.908,75.5231,0.0419376,16.5746,76.6134,404.798,0.930593,37.6125,4372.38,76.5254,0,0.000798546,62.6654,0
2,0,0,0,0,0,0.068163,74.2065,0,7.35874,5935.47,0.999912,96.0174,113.908,75.5231,0.0419376,16.5746,76.6134,404.798,0.930593,37.6125,4372.38,76.5254,0,0.000798546,62.6654,0
3,0,0,0,0,0,0.0689094,72.685,0,7.35841,5810.67,0.999868,95.3226,113.747,74.5525,0.0419376,16.5746,140.714,404.798,0.943452,37.6126,4369.38,76.2906,0,0.00079855,120.9,0
3,0,0,0,0,0,0.0689094,72.685,0,7.35841,5810.67,0.999868,95.3226,113.747,74.5525,0.0419376,16.5746,140.714,404.798,0.943452,37.6126,4369.38,76.2906,0,0.00079855,120.9,0
4,0,0,0,0,0,0.0691835,73.0598,0,7.35835,5833.4,0.999824,95.236,113.735,74.4852,0.0419376,16.5746,142.585,404.798,0.938931,37.6127,4366.3,76.4118,0,0.000798471,118.618,0
4,0,0,0,0,0,0.0691835,73.0598,0,7.35835,5833.4,0.999824,95.236,113.735,74.4852,0.0419376,16.5746,142.585,404.798,0.938931,37.6127,4366.3,76.4118,0,0.000798471,118.618,0
5,0,0,0,0,0,0.069012,73.3244,0,7.3585,5850.45,0.99978,95.6801,113.754,74.4482,0.0419376,16.5746,114.296,404.798,0.940785,37.6128,4363.25,76.423,0,0.0007984,93.557,0
5,0,0,0,0,0,0.069012,73.3244,0,7.3585,5850.45,0.99978,95.6801,113.754,74.4482,0.0419376,16.5746,114.296,404.798,0.940785,37.6128,4363.25,76.423,0,0.0007984,93.557,0
6,0,0,0,0,0,0.0688662,73.4825,0,7.3585,5821.03,0.999736,96.0676,114.206,75.2616,0.0419598,16.5746,92.1478,404.975,0.949562,37.6129,4360.28,76.1752,0,0.000798378,75.0165,1.98E-17
6,0,0,0,0,0,0.0688662,73.4825,0,7.3585,5821.03,0.999736,96.0676,114.206,75.2616,0.0419598,16.5746,92.1478,404.975,0.949562,37.6129,4360.28,76.1752,0,0.000798378,75.0165,1.98E-17
7,0,0,0,0,0,0.0692863,73.4968,0,7.35819,5796.27,0.999692,96.1412,114.262,75.507,0.0419598,16.5746,90.9804,404.975,0.954441,37.6128,4357.35,75.7267,0,0.000798405,78.4391,1.98E-17
