Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0692172,71.9357,-1.$,7.35625,5686.73,0.999956,93.9616,114.012,72.0651,0.0425455,17.6471,117.646,411.735,0.949915,37.8766,3901.17,67.6277,0,0.000758281,98.0371,0
1,0,0,0,0,0,0.0692172,71.9357,-1.$,7.35625,5686.73,0.999956,93.9616,114.012,72.0651,0.0425455,17.6471,117.646,411.735,0.949915,37.8766,3901.17,67.6277,0,0.000758281,98.0371,0
2,0,0,0,0,0,0.0697916,72.6809,0,7.35631,5759.55,0.999912,93.2517,113.329,71.4662,0.0425455,17.6471,94.2132,411.735,0.930536,37.8765,3898.71,67.3802,0,0.00075827,77.7193,0
2,0,0,0,0,0,0.0697916,72.6809,0,7.35631,5759.55,0.999912,93.2517,113.329,71.4662,0.0425455,17.6471,94.2132,411.735,0.930536,37.8765,3898.71,67.3802,0,0.00075827,77.7193,0
3,0,0,0,0,0,0.0700992,72.6632,0,7.35648,5768.73,0.999868,92.9333,112.95,71.0241,0.0425586,17.6471,75.9388,411.738,0.92578,37.8764,3896.31,66.8919,0,0.000758298,62.5608,0
3,0,0,0,0,0,0.0700992,72.6632,0,7.35648,5768.73,0.999868,92.9333,112.95,71.0241,0.0425586,17.6471,75.9388,411.738,0.92578,37.8764,3896.31,66.8919,0,0.000758298,62.5608,0
4,0,0,0,0,0,0.0700901,73.2095,0,7.35617,5806.55,0.999824,93.314,112.921,70.8758,0.0425586,17.6471,131.42,411.738,0.923762,37.8763,3893.87,66.5398,0,0.000758296,115.598,0
4,0,0,0,0,0,0.0700901,73.2095,0,7.35617,5806.55,0.999824,93.314,112.921,70.8758,0.0425586,17.6471,131.42,411.738,0.923762,37.8763,3893.87,66.5398,0,0.000758296,115.598,0
5,0,0,0,0,0,0.0699375,73.414,0,7.35611,5778.02,0.99978,93.6662,113.364,71.7069,0.0425586,17.6471,147.105,411.738,0.932006,37.8764,3891.28,66.8588,0,0.000758148,124.792,0
5,0,0,0,0,0,0.0699375,73.414,0,7.35611,5778.02,0.99978,93.6662,113.364,71.7069,0.0425586,17.6471,147.105,411.738,0.932006,37.8764,3891.28,66.8588,0,0.000758148,124.792,0
6,0,0,0,0,0,0.0699702,73.5,0,7.35628,5769.56,0.999736,93.7169,113.436,71.8755,0.0425912,17.6471,113.976,411.755,0.933929,37.8764,3888.75,66.9798,0,0.000758035,94.4798,0
6,0,0,0,0,0,0.0699702,73.5,0,7.35628,5769.56,0.999736,93.7169,113.436,71.8755,0.0425912,17.6471,113.976,411.755,0.933929,37.8764,3888.75,66.9798,0,0.000758035,94.4798,0
7,0,0,0,0,0,0.0700255,73.392,0,7.35622,5754.22,0.999692,93.6784,113.345,71.8617,0.0425912,17.6471,89.1437,411.755,0.936042,37.8763,3886.29,66.7621,0,0.000757998,73.3478,-2.33E-17
7,0,0,0,0,0,0.0700255,73.392,0,7.35622,5754.22,0.999692,93.6784,113.345,71.8617,0.0425912,17.6471,89.1437,411.755,0.936042,37.8763,3886.29,66.7621,0,0.000757998,73.3478,-2.33E-17
8,0,0,0,0,0,0.0701088,73.3046,0,7.35588,5730.14,0.999648,93.5394,113.129,71.7886,0.0425912,17.6471,78.3055,411.755,0.938563,37.8761,3883.89,66.2934,0,0.000758023,67.4467,0
8,0,0,0,0,0,0.0701088,73.3046,0,7.35588,5730.14,0.999648,93.5394,113.129,71.7886,0.0425912,17.6471,78.3055,411.755,0.938563,37.8761,3883.89,66.2934,0,0.000758023,67.4467,0
