Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0669425,71.9525,-1.$,7.37446,5779.23,0.999956,97.4101,116.712,75.1325,0.0404182,16.4835,84.72,415.495,0.969964,37.4456,5354.84,79.6995,0,0.000804562,70.0188,1.61E-17
1,0,0,0,0,0,0.0669425,71.9525,-1.$,7.37446,5779.23,0.999956,97.4101,116.712,75.1325,0.0404182,16.4835,84.72,415.495,0.969964,37.4456,5354.84,79.6995,0,0.000804562,70.0188,1.61E-17
2,0,0,0,0,0,0.0680824,72.0649,0,7.3745,5825.89,0.999912,95.9859,115.354,74.3119,0.0404182,16.4835,100.27,415.495,0.947546,37.4455,5351.77,79.1551,0,0.000804623,88.7997,0
2,0,0,0,0,0,0.0680824,72.0649,0,7.3745,5825.89,0.999912,95.9859,115.354,74.3119,0.0404182,16.4835,100.27,415.495,0.947546,37.4455,5351.77,79.1551,0,0.000804623,88.7997,0
3,0,0,0,0,0,0.068406,72.3201,0,7.37452,5844.32,0.999868,95.7923,115.176,74.0694,0.0404207,16.4835,149.188,415.513,0.942593,37.4456,5348.56,79.1506,0,0.000804603,128.341,0
3,0,0,0,0,0,0.068406,72.3201,0,7.37452,5844.32,0.999868,95.7923,115.176,74.0694,0.0404207,16.4835,149.188,415.513,0.942593,37.4456,5348.56,79.1506,0,0.000804603,128.341,0
4,0,0,0,0,0,0.0686967,72.7206,0,7.37436,5869.05,0.999824,95.7103,115.168,74.0118,0.0404207,16.4835,132.987,415.513,0.937818,37.4457,5345.32,79.2427,0,0.000804555,110.977,0
4,0,0,0,0,0,0.0686967,72.7206,0,7.37436,5869.05,0.999824,95.7103,115.168,74.0118,0.0404207,16.4835,132.987,415.513,0.937818,37.4457,5345.32,79.2427,0,0.000804555,110.977,0
5,0,0,0,0,0,0.0689326,73.0248,0,7.37435,5887.8,0.99978,95.6668,115.192,73.9876,0.0404207,16.4835,108.01,415.513,0.934432,37.4458,5342.17,79.0639,0,0.000804536,88.9124,-1.61E-17
5,0,0,0,0,0,0.0689326,73.0248,0,7.37435,5887.8,0.99978,95.6668,115.192,73.9876,0.0404207,16.4835,108.01,415.513,0.934432,37.4458,5342.17,79.0639,0,0.000804536,88.9124,-1.61E-17
6,0,0,0,0,0,0.0686996,73.1844,0,7.37444,5899.19,0.999736,96.1682,115.218,73.9695,0.0404268,16.4835,86.4831,415.533,0.937762,37.4457,5339.06,78.7126,0,0.000804538,70.8752,0
6,0,0,0,0,0,0.0686996,73.1844,0,7.37444,5899.19,0.999736,96.1682,115.218,73.9695,0.0404268,16.4835,86.4831,415.533,0.937762,37.4457,5339.06,78.7126,0,0.000804538,70.8752,0
7,0,0,0,0,0,0.0685224,73.3276,0,7.37438,5855.63,0.999692,96.6907,115.824,75.057,0.0404268,16.4835,112.747,415.533,0.950142,37.4457,5335.97,78.2955,0,0.000804556,99.6358,0
7,0,0,0,0,0,0.0685224,73.3276,0,7.37438,5855.63,0.999692,96.6907,115.824,75.057,0.0404268,16.4835,112.747,415.533,0.950142,37.4457,5335.97,78.2955,0,0.000804556,99.6358,0
8,0,0,0,0,0,0.0685519,73.2002,0,7.37421,5839.26,0.999648,96.6831,115.766,75.0779,0.0404268,16.4835,149.935,415.533,0.95275,37.4459,5332.71,78.5518,0,0.000804489,127.98,-3.22E-17
8,0,0,0,0,0,0.0685519,73.2002,0,7.37421,5839.26,0.999648,96.6831,115.766,75.0779,0.0404268,16.4835,149.935,415.533,0.95275,37.4459,5332.71,78.5518,0,0.000804489,127.98,-3.22E-17
9,0,0,0,0,0,0.0690005,73.0544,0,7.37426,5821.69,0.999604,96.1213,115.662,74.9105,0.0404268,16.4835,125.901,415.533,0.949868,37.4459,5329.48,78.6553,0,0.000804444,104.581,0
9,0,0,0,0,0,0.0690005,73.0544,0,7.37426,5821.69,0.999604,96.1213,115.662,74.9105,0.0404268,16.4835,125.901,415.533,0.949868,37.4459,5329.48,78.6553,0,0.000804444,104.581,0
10,0,0,0,0,0,0.0693942,72.9793,0,7.37432,5848.16,0.99956,95.6532,115.106,74.1594,0.0404629,16.4835,102.562,415.541,0.940806,37.4459,5326.35,78.4314,0,0.000804442,84.1418,0
10,0,0,0,0,0,0.0693942,72.9793,0,7.37432,5848.16,0.99956,95.6532,115.106,74.1594,0.0404629,16.4835,102.562,415.541,0.940806,37.4459,5326.35,78.4314,0,0.000804442,84.1418,0
11,0,0,0,0,0,0.0695913,72.9889,0,7.3742,5856.22,0.999516,95.5143,114.946,73.9193,0.0404629,16.4835,83.8943,415.541,0.93813,37.4458,5323.28,77.9733,0,0.000804472,68.6016,0
11,0,0,0,0,0,0.0695913,72.9889,0,7.3742,5856.22,0.999516,95.5143,114.946,73.9193,0.0404629,16.4835,83.8943,415.541,0.93813,37.4458,5323.28,77.9733,0,0.000804472,68.6016,0
