Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0669226,72.0214,-1.$,7.36,5761.28,0.999956,96.684,116.885,74.1378,0.0432216,13.3929,89.2385,475.568,0.96544,37.5693,4663.4,77.1915,0,0.000799645,73.724,3.71E-17
1,0,0,0,0,0,0.0669226,72.0214,-1.$,7.36,5761.28,0.999956,96.684,116.885,74.1378,0.0432216,13.3929,89.2385,475.568,0.96544,37.5693,4663.4,77.1915,0,0.000799645,73.724,3.71E-17
2,0,0,0,0,0,0.067615,72.3609,0,7.36021,5823.13,0.999912,95.2983,115.585,72.9362,0.0432584,13.3929,73.0347,475.67,0.940942,37.5692,4660.48,76.6296,0,0.000799713,60.5552,0
2,0,0,0,0,0,0.067615,72.3609,0,7.36021,5823.13,0.999912,95.2983,115.585,72.9362,0.0432584,13.3929,73.0347,475.67,0.940942,37.5692,4660.48,76.6296,0,0.000799713,60.5552,0
3,0,0,0,0,0,0.0683541,72.6429,0,7.35993,5842.35,0.999868,95.1263,115.445,72.7327,0.0432584,13.3929,143.411,475.67,0.936112,37.5693,4657.47,76.4039,0,0.00079972,124.778,7.42E-17
3,0,0,0,0,0,0.0683541,72.6429,0,7.35993,5842.35,0.999868,95.1263,115.445,72.7327,0.0432584,13.3929,143.411,475.67,0.936112,37.5693,4657.47,76.4039,0,0.00079972,124.778,7.42E-17
4,0,0,0,0,0,0.0686264,73.0381,0,7.35961,5866.48,0.999824,95.0516,115.458,72.6887,0.0432584,13.3929,144.657,475.67,0.931542,37.5694,4654.36,76.5597,0,0.000799647,121.563,3.71E-17
4,0,0,0,0,0,0.0686264,73.0381,0,7.35961,5866.48,0.999824,95.0516,115.458,72.6887,0.0432584,13.3929,144.657,475.67,0.931542,37.5694,4654.36,76.5597,0,0.000799647,121.563,3.71E-17
5,0,0,0,0,0,0.0684056,73.3013,0,7.35971,5883.7,0.99978,95.5529,115.49,72.6634,0.0432584,13.3929,112.981,475.67,0.933964,37.5695,4651.3,76.5842,0,0.000799585,93.2786,0
5,0,0,0,0,0,0.0684056,73.3013,0,7.35971,5883.7,0.99978,95.5529,115.49,72.6634,0.0432584,13.3929,112.981,475.67,0.933964,37.5695,4651.3,76.5842,0,0.000799585,93.2786,0
6,0,0,0,0,0,0.0682453,73.4239,0,7.35995,5851.63,0.999736,95.9374,115.948,73.5111,0.0432584,13.3929,88.7915,475.67,0.943053,37.5695,4648.31,76.3147,0,0.000799571,72.9019,0
