Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0665983,73.682,-1.$,7.35828,5915.53,0.999956,98.678,118.422,75.975,0.0422437,15.3846,109.923,420.646,0.959964,37.5058,4831.45,82.4352,0,0.000798766,89.8627,1.79E-17
1,0,0,0,0,0,0.0665983,73.682,-1.$,7.35828,5915.53,0.999956,98.678,118.422,75.975,0.0422437,15.3846,109.923,420.646,0.959964,37.5058,4831.45,82.4352,0,0.000798766,89.8627,1.79E-17
2,0,0,0,0,0,0.0676136,72.2652,0,7.35806,5823.84,0.999912,97.3405,117.629,74.9943,0.0422437,15.3846,89.1546,420.646,0.961323,37.5058,4828.83,82.0731,0,0.000798783,72.3201,0
2,0,0,0,0,0,0.0676136,72.2652,0,7.35806,5823.84,0.999912,97.3405,117.629,74.9943,0.0422437,15.3846,89.1546,420.646,0.961323,37.5058,4828.83,82.0731,0,0.000798783,72.3201,0
3,0,0,0,0,0,0.0679566,72.557,0,7.35787,5852.49,0.999868,96.8572,117.124,74.2953,0.0422437,15.3846,80.3784,420.646,0.951715,37.5057,4826.25,81.4896,0,0.000798828,67.8939,0
3,0,0,0,0,0,0.0679566,72.557,0,7.35787,5852.49,0.999868,96.8572,117.124,74.2953,0.0422437,15.3846,80.3784,420.646,0.951715,37.5057,4826.25,81.4896,0,0.000798828,67.8939,0
4,0,0,0,0,0,0.068431,72.861,0,7.358,5872.11,0.999824,96.8043,117.138,74.2574,0.0422437,15.3846,148.539,420.646,0.948037,37.5058,4823.57,81.3718,0,0.00079879,126.49,0
4,0,0,0,0,0,0.068431,72.861,0,7.358,5872.11,0.999824,96.8043,117.138,74.2574,0.0422437,15.3846,148.539,420.646,0.948037,37.5058,4823.57,81.3718,0,0.00079879,126.49,0
5,0,0,0,0,0,0.0686095,73.0847,0,7.35798,5887.4,0.99978,96.7878,117.179,74.2466,0.0422816,15.3846,142.912,420.81,0.945454,37.506,4820.82,81.5549,0,0.000798689,117.872,0
5,0,0,0,0,0,0.0686095,73.0847,0,7.35798,5887.4,0.99978,96.7878,117.179,74.2466,0.0422816,15.3846,142.912,420.81,0.945454,37.506,4820.82,81.5549,0,0.000798689,117.872,0
6,0,0,0,0,0,0.0683305,73.2323,0,7.35772,5898.99,0.999736,97.3352,117.235,74.2533,0.0422816,15.3846,112.625,420.81,0.949199,37.5061,4818.12,81.5836,0,0.00079861,91.51,0
6,0,0,0,0,0,0.0683305,73.2323,0,7.35772,5898.99,0.999736,97.3352,117.235,74.2533,0.0422816,15.3846,112.625,420.81,0.949199,37.5061,4818.12,81.5836,0,0.00079861,91.51,0
7,0,0,0,0,0,0.0681159,73.3081,0,7.35761,5864.4,0.999692,97.7626,117.728,75.1479,0.0422816,15.3846,89.2079,420.81,0.959194,37.5061,4815.48,81.3296,0,0.000798582,72.1485,0
7,0,0,0,0,0,0.0681159,73.3081,0,7.35761,5864.4,0.999692,97.7626,117.728,75.1479,0.0422816,15.3846,89.2079,420.81,0.959194,37.5061,4815.48,81.3296,0,0.000798582,72.1485,0
8,0,0,0,0,0,0.0685091,73.1252,0,7.3577,5830.27,0.999648,97.3021,117.738,75.1993,0.0422816,15.3846,90.2487,420.81,0.960126,37.506,4812.89,80.8641,0,0.0007986,77.7802,0
8,0,0,0,0,0,0.0685091,73.1252,0,7.3577,5830.27,0.999648,97.3021,117.738,75.1993,0.0422816,15.3846,90.2487,420.81,0.960126,37.506,4812.89,80.8641,0,0.0007986,77.7802,0
9,0,0,0,0,0,0.0688622,72.9869,0,7.35764,5853.81,0.999604,96.8507,117.18,74.4649,0.0423276,15.3846,150.658,420.975,0.95168,37.5061,4810.19,80.8687,0,0.000798546,127.561,0
9,0,0,0,0,0,0.0688622,72.9869,0,7.35764,5853.81,0.999604,96.8507,117.18,74.4649,0.0423276,15.3846,150.658,420.975,0.95168,37.5061,4810.19,80.8687,0,0.000798546,127.561,0
10,0,0,0,0,0,0.0690259,72.9605,0,7.35736,5858.68,0.99956,96.7238,117.024,74.2397,0.0423276,15.3846,138.902,420.975,0.949627,37.5062,4807.45,81.0514,0,0.000798456,114.107,0
10,0,0,0,0,0,0.0690259,72.9605,0,7.35736,5858.68,0.99956,96.7238,117.024,74.2397,0.0423276,15.3846,138.902,420.975,0.949627,37.5062,4807.45,81.0514,0,0.000798456,114.107,0
11,0,0,0,0,0,0.0691586,73.1436,0,7.35732,5872.23,0.999516,96.6992,117.048,74.2149,0.0423276,15.3846,112.101,420.975,0.947228,37.5062,4804.77,80.9647,0,0.000798408,90.8542,0
11,0,0,0,0,0,0.0691586,73.1436,0,7.35732,5872.23,0.999516,96.6992,117.048,74.2149,0.0423276,15.3846,112.101,420.975,0.947228,37.5062,4804.77,80.9647,0,0.000798408,90.8542,0
12,0,0,0,0,0,0.0688396,73.294,0,7.35744,5883.95,0.999472,97.2368,117.098,74.2175,0.0423276,15.3846,89.1685,420.975,0.950853,37.5062,4802.14,80.6892,0,0.000798391,71.8715,-1.79E-17
12,0,0,0,0,0,0.0688396,73.294,0,7.35744,5883.95,0.999472,97.2368,117.098,74.2175,0.0423276,15.3846,89.1685,420.975,0.950853,37.5062,4802.14,80.6892,0,0.000798391,71.8715,-1.79E-17
13,0,0,0,0,0,0.0685873,73.4191,0,7.3574,5836.86,0.999428,97.7326,117.671,75.315,0.0423428,15.4639,102.706,421.136,0.963659,37.5061,4799.55,80.2737,0,0.000798413,89.084,0
13,0,0,0,0,0,0.0685873,73.4191,0,7.3574,5836.86,0.999428,97.7326,117.671,75.315,0.0423428,15.4639,102.706,421.136,0.963659,37.5061,4799.55,80.2737,0,0.000798413,89.084,0
14,0,0,0,0,0,0.0686016,73.2909,0,7.35708,5819.24,0.999384,97.7029,117.583,75.3195,0.0423428,15.4639,152.839,421.136,0.966287,37.5062,4796.8,80.5341,0,0.000798335,128.561,0
14,0,0,0,0,0,0.0686016,73.2909,0,7.35708,5819.24,0.999384,97.7029,117.583,75.3195,0.0423428,15.4639,152.839,421.136,0.966287,37.5062,4796.8,80.5341,0,0.000798335,128.561,0
15,0,0,0,0,0,0.0690545,73.1579,0,7.35711,5801.09,0.99934,97.0991,117.451,75.0892,0.0423428,15.4639,131.136,421.136,0.963092,37.5063,4794.07,80.7202,0,0.000798273,107.324,0
15,0,0,0,0,0,0.0690545,73.1579,0,7.35711,5801.09,0.99934,97.0991,117.451,75.0892,0.0423428,15.4639,131.136,421.136,0.963092,37.5063,4794.07,80.7202,0,0.000798273,107.324,0
16,0,0,0,0,0,0.0694335,73.0929,0,7.35724,5828.89,0.999296,96.6191,116.882,74.3528,0.0423801,15.4639,106.157,424.08,0.953598,37.5062,4791.42,80.5619,0,0.000798269,85.7538,0
16,0,0,0,0,0,0.0694335,73.0929,0,7.35724,5828.89,0.999296,96.6191,116.882,74.3528,0.0423801,15.4639,106.157,424.08,0.953598,37.5062,4791.42,80.5619,0,0.000798269,85.7538,0
17,0,0,0,0,0,0.0696165,73.1124,0,7.35723,5837,0.999252,96.4752,116.719,74.1102,0.0423801,15.4639,86.3513,424.08,0.950833,37.5061,4788.82,80.1501,0,0.000798311,69.4233,0
