Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0656708,71.7363,-1.$,7.4159,5798.84,0.999956,94.4661,113.455,73.0324,0.0369354,17.341,71.2841,447.604,0.936598,37.3606,6106.51,69.9142,0,0.00080968,61.3108,0
1,0,0,0,0,0,0.0656708,71.7363,-1.$,7.4159,5798.84,0.999956,94.4661,113.455,73.0324,0.0369354,17.341,71.2841,447.604,0.936598,37.3606,6106.51,69.9142,0,0.00080968,61.3108,0
2,0,0,0,0,0,0.0672365,71.4292,0,7.41591,5851.99,0.999912,92.5519,111.552,70.9399,0.0369354,17.341,133.475,447.604,0.908482,37.3606,6103.13,69.5724,0,0.000809712,122.192,0
2,0,0,0,0,0,0.0672365,71.4292,0,7.41591,5851.99,0.999912,92.5519,111.552,70.9399,0.0369354,17.341,133.475,447.604,0.908482,37.3606,6103.13,69.5724,0,0.000809712,122.192,0
3,0,0,0,0,0,0.0673535,71.6891,0,7.41603,5851.09,0.999868,92.6705,111.717,71.2913,0.0369354,17.341,143.376,447.604,0.90985,37.3608,6099.61,69.6928,0,0.000809678,126.728,0
3,0,0,0,0,0,0.0673535,71.6891,0,7.41603,5851.09,0.999868,92.6705,111.717,71.2913,0.0369354,17.341,143.376,447.604,0.90985,37.3608,6099.61,69.6928,0,0.000809678,126.728,0
4,0,0,0,0,0,0.0675957,72.232,0,7.4162,5882.15,0.999824,92.7054,111.852,71.4304,0.0369163,17.341,115.773,450.833,0.905427,37.3609,6096.14,69.6648,0,0.000809649,99.7034,0
4,0,0,0,0,0,0.0675957,72.232,0,7.4162,5882.15,0.999824,92.7054,111.852,71.4304,0.0369163,17.341,115.773,450.833,0.905427,37.3609,6096.14,69.6648,0,0.000809649,99.7034,0
5,0,0,0,0,0,0.0678112,72.5184,0,7.41625,5897.95,0.99978,92.6958,111.893,71.4593,0.0369163,17.341,93.5418,450.833,0.90294,37.3609,6092.75,69.378,0,0.000809646,79.85,-1.41E-17
5,0,0,0,0,0,0.0678112,72.5184,0,7.41625,5897.95,0.99978,92.6958,111.893,71.4593,0.0369163,17.341,93.5418,450.833,0.90294,37.3609,6092.75,69.378,0,0.000809646,79.85,-1.41E-17
