Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0688708,72.0286,-1.$,7.35661,5729.34,0.999956,95.6178,115.062,73.7882,0.0428879,16.5746,87.3295,428.717,0.95977,37.8197,4076.86,71.9716,0,0.000757156,72.0157,0
1,0,0,0,0,0,0.0688708,72.0286,-1.$,7.35661,5729.34,0.999956,95.6178,115.062,73.7882,0.0428879,16.5746,87.3295,428.717,0.95977,37.8197,4076.86,71.9716,0,0.000757156,72.0157,0
2,0,0,0,0,0,0.0695944,72.5878,0,7.35677,5806.32,0.999912,94.1959,113.796,72.5963,0.0429184,16.5746,78.9517,428.806,0.932401,37.8195,4073.9,71.4052,0,0.000757205,67.7863,-2.23E-17
2,0,0,0,0,0,0.0695944,72.5878,0,7.35677,5806.32,0.999912,94.1959,113.796,72.5963,0.0429184,16.5746,78.9517,428.806,0.932401,37.8195,4073.9,71.4052,0,0.000757205,67.7863,-2.23E-17
3,0,0,0,0,0,0.0703671,72.8284,0,7.35666,5823.93,0.999868,94.0077,113.632,72.3613,0.0429184,16.5746,146.31,428.806,0.927685,37.8195,4070.82,71.2546,0,0.000757164,125.977,0
3,0,0,0,0,0,0.0703671,72.8284,0,7.35666,5823.93,0.999868,94.0077,113.632,72.3613,0.0429184,16.5746,146.31,428.806,0.927685,37.8195,4070.82,71.2546,0,0.000757164,125.977,0
4,0,0,0,0,0,0.0702163,73.2176,0,7.3564,5848.3,0.999824,94.4459,113.641,72.3057,0.0429184,16.5746,136.305,428.806,0.928349,37.8196,4067.64,71.4783,0,0.000757033,113.577,0
4,0,0,0,0,0,0.0702163,73.2176,0,7.3564,5848.3,0.999824,94.4459,113.641,72.3057,0.0429184,16.5746,136.305,428.806,0.928349,37.8196,4067.64,71.4783,0,0.000757033,113.577,0
5,0,0,0,0,0,0.0701274,73.495,0,7.35652,5822.61,0.99978,94.7771,114.078,73.1194,0.0429184,16.5746,106.881,428.806,0.935888,37.8196,4064.55,71.4297,0,0.000756947,87.9718,-2.24E-17
5,0,0,0,0,0,0.0701274,73.495,0,7.35652,5822.61,0.99978,94.7771,114.078,73.1194,0.0429184,16.5746,106.881,428.806,0.935888,37.8196,4064.55,71.4297,0,0.000756947,87.9718,-2.24E-17
6,0,0,0,0,0,0.0701922,73.639,0,7.35669,5821.84,0.999736,94.8408,114.15,73.2805,0.0429262,16.5746,84.5594,428.897,0.936704,37.8195,4061.53,71.0874,0,0.00075692,69.3898,2.24E-17
6,0,0,0,0,0,0.0701922,73.639,0,7.35669,5821.84,0.999736,94.8408,114.15,73.2805,0.0429262,16.5746,84.5594,428.897,0.936704,37.8195,4061.53,71.0874,0,0.00075692,69.3898,2.24E-17
7,0,0,0,0,0,0.070416,73.519,0,7.35642,5791.51,0.999692,94.7209,113.97,73.2459,0.0429262,16.5746,112.616,428.897,0.940431,37.8193,4058.55,70.6413,0,0.000756925,99.0687,0
7,0,0,0,0,0,0.070416,73.519,0,7.35642,5791.51,0.999692,94.7209,113.97,73.2459,0.0429262,16.5746,112.616,428.897,0.940431,37.8193,4058.55,70.6413,0,0.000756925,99.0687,0
8,0,0,0,0,0,0.0705445,73.5178,0,7.35621,5783.12,0.999648,94.6454,113.87,73.1979,0.0429262,16.5746,149.919,428.897,0.941042,37.8193,4055.39,70.8456,0,0.000756804,127.133,0
