Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0700599,72.4181,-1.$,7.35649,5651.6,0.999956,93.471,110.817,73.5067,0.0451132,10.4167,107.569,574.644,0.952215,37.4925,4945.88,69.2443,0,0.000795838,96.4863,0
1,0,0,0,0,0,0.0700599,72.4181,-1.$,7.35649,5651.6,0.999956,93.471,110.817,73.5067,0.0451132,10.4167,107.569,574.644,0.952215,37.4925,4945.88,69.2443,0,0.000795838,96.4863,0
2,0,0,0,0,0,0.070707,72.4598,0,7.35613,5677.31,0.999912,92.7637,110.002,73.0211,0.0451132,10.4167,141.931,574.644,0.94045,37.4927,4942.26,69.2663,0,0.000795806,123.27,0
2,0,0,0,0,0,0.070707,72.4598,0,7.35613,5677.31,0.999912,92.7637,110.002,73.0211,0.0451132,10.4167,141.931,574.644,0.94045,37.4927,4942.26,69.2663,0,0.000795806,123.27,0
3,0,0,0,0,0,0.0707165,74.4898,0,7.35557,5837.87,0.999868,92.9582,109.718,73.7662,0.0451132,10.4167,123.711,574.644,0.916603,37.4927,4938.65,69.2678,0,0.000795764,103.96,0
3,0,0,0,0,0,0.0707165,74.4898,0,7.35557,5837.87,0.999868,92.9582,109.718,73.7662,0.0451132,10.4167,123.711,574.644,0.916603,37.4927,4938.65,69.2678,0,0.000795764,103.96,0
4,0,0,0,0,0,0.0714593,73.1032,0,7.35537,5722.17,0.999824,92.3563,109.666,72.8898,0.0451132,10.4167,102.098,574.644,0.928882,37.4927,4935.12,69.0161,0,0.000795748,84.5255,-1.76E-17
4,0,0,0,0,0,0.0714593,73.1032,0,7.35537,5722.17,0.999824,92.3563,109.666,72.8898,0.0451132,10.4167,102.098,574.644,0.928882,37.4927,4935.12,69.0161,0,0.000795748,84.5255,-1.76E-17
5,0,0,0,0,0,0.0713221,73.4147,0,7.35557,5744.97,0.99978,92.763,109.668,72.8315,0.0451132,10.4167,83.2985,574.644,0.929483,37.4927,4931.65,68.6183,0,0.000795742,68.6894,1.76E-17
5,0,0,0,0,0,0.0713221,73.4147,0,7.35557,5744.97,0.99978,92.763,109.668,72.8315,0.0451132,10.4167,83.2985,574.644,0.929483,37.4927,4931.65,68.6183,0,0.000795742,68.6894,1.76E-17
