Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0731921,71.8883,-1.$,7.35595,5522,0.999956,95.7707,113.058,75.946,0.0426603,17.2414,117.608,416.453,0.999314,37.8188,4082.05,72.4788,0,0.00075168,93.5835,0
1,0,0,0,0,0,0.0731921,71.8883,-1.$,7.35595,5522,0.999956,95.7707,113.058,75.946,0.0426603,17.2414,117.608,416.453,0.999314,37.8188,4082.05,72.4788,0,0.00075168,93.5835,0
2,0,0,0,0,0,0.0738074,72.4534,0,7.35567,5582.43,0.999912,95.0485,112.314,75.3216,0.0426603,17.2414,97.8681,416.453,0.980756,37.8188,4079.49,72.2257,0,0.000751665,77.0124,0
2,0,0,0,0,0,0.0738074,72.4534,0,7.35567,5582.43,0.999912,95.0485,112.314,75.3216,0.0426603,17.2414,97.8681,416.453,0.980756,37.8188,4079.49,72.2257,0,0.000751665,77.0124,0
3,0,0,0,0,0,0.0741709,72.466,0,7.35562,5593.3,0.999868,94.6963,111.909,75.0756,0.0426603,17.2414,81.8989,416.453,0.975104,37.8187,4076.98,71.7528,0,0.000751684,64.2337,0
3,0,0,0,0,0,0.0741709,72.466,0,7.35562,5593.3,0.999868,94.6963,111.909,75.0756,0.0426603,17.2414,81.8989,416.453,0.975104,37.8187,4076.98,71.7528,0,0.000751684,64.2337,0
4,0,0,0,0,0,0.0746953,73.0123,0,7.35577,5629.89,0.999824,94.4856,111.785,74.8712,0.0426866,17.2414,128.215,416.5,0.966609,37.8186,4074.45,71.3731,0,0.000751676,107.577,0
4,0,0,0,0,0,0.0746953,73.0123,0,7.35577,5629.89,0.999824,94.4856,111.785,74.8712,0.0426866,17.2414,128.215,416.5,0.966609,37.8186,4074.45,71.3731,0,0.000751676,107.577,0
5,0,0,0,0,0,0.0744815,73.2579,0,7.35551,5646.69,0.99978,94.9405,111.825,75.7991,0.0426866,17.2414,144.878,416.5,0.968605,37.8187,4071.79,71.576,0,0.00075154,117.469,0
5,0,0,0,0,0,0.0744815,73.2579,0,7.35551,5646.69,0.99978,94.9405,111.825,75.7991,0.0426866,17.2414,144.878,416.5,0.968605,37.8187,4071.79,71.576,0,0.00075154,117.469,0
6,0,0,0,0,0,0.0742988,73.4123,0,7.35541,5619.52,0.999736,95.3265,112.275,76.0563,0.0426866,17.2414,117.274,416.5,0.977437,37.8187,4069.17,71.6688,0,0.000751422,92.8371,-2.25E-17
6,0,0,0,0,0,0.0742988,73.4123,0,7.35541,5619.52,0.999736,95.3265,112.275,76.0563,0.0426866,17.2414,117.274,416.5,0.977437,37.8187,4069.17,71.6688,0,0.000751422,92.8371,-2.25E-17
7,0,0,0,0,0,0.0742879,73.4681,0,7.35554,5610.12,0.999692,95.4301,112.386,76.1301,0.0426866,17.2414,95.6914,416.5,0.980212,37.8187,4066.6,71.4859,0,0.000751363,75.0666,0
7,0,0,0,0,0,0.0742879,73.4681,0,7.35554,5610.12,0.999692,95.4301,112.386,76.1301,0.0426866,17.2414,95.6914,416.5,0.980212,37.8187,4066.6,71.4859,0,0.000751363,75.0666,0
8,0,0,0,0,0,0.0743315,73.2185,0,7.35558,5572.34,0.999648,95.3368,112.212,76.092,0.0427251,17.2414,83.616,416.545,0.985898,37.8186,4064.09,71.0765,0,0.000751359,67.6156,0
8,0,0,0,0,0,0.0743315,73.2185,0,7.35558,5572.34,0.999648,95.3368,112.212,76.092,0.0427251,17.2414,83.616,416.545,0.985898,37.8186,4064.09,71.0765,0,0.000751359,67.6156,0
9,0,0,0,0,0,0.0745078,73.1884,0,7.3552,5561.12,0.999604,95.2623,112.106,76.0456,0.0427251,17.2414,144.554,416.545,0.987102,37.8186,4061.48,71.0918,0,0.000751278,119.275,0
9,0,0,0,0,0,0.0745078,73.1884,0,7.3552,5561.12,0.999604,95.2623,112.106,76.0456,0.0427251,17.2414,144.554,416.545,0.987102,37.8186,4061.48,71.0918,0,0.000751278,119.275,0
10,0,0,0,0,0,0.074627,73.1979,0,7.35526,5552.51,0.99956,95.1761,111.999,75.9853,0.0427251,17.2414,131.201,416.545,0.987721,37.8187,4058.83,71.3211,0,0.000751146,104.767,0
10,0,0,0,0,0,0.074627,73.1979,0,7.35526,5552.51,0.99956,95.1761,111.999,75.9853,0.0427251,17.2414,131.201,416.545,0.987721,37.8187,4058.83,71.3211,0,0.000751146,104.767,0
11,0,0,0,0,0,0.0747629,73.2301,0,7.35538,5545.86,0.999516,95.0862,111.894,75.9204,0.0427321,17.2414,106.506,416.583,0.987954,37.8186,4056.24,71.2537,0,0.000751071,83.7198,0
11,0,0,0,0,0,0.0747629,73.2301,0,7.35538,5545.86,0.999516,95.0862,111.894,75.9204,0.0427321,17.2414,106.506,416.583,0.987954,37.8186,4056.24,71.2537,0,0.000751071,83.7198,0
12,0,0,0,0,0,0.074918,73.299,0,7.35522,5541.88,0.999472,94.9989,111.802,75.8538,0.0427321,17.2414,87.1242,416.583,0.987744,37.8185,4053.72,70.9178,0,0.000751056,68.1169,0
12,0,0,0,0,0,0.074918,73.299,0,7.35522,5541.88,0.999472,94.9989,111.802,75.8538,0.0427321,17.2414,87.1242,416.583,0.987744,37.8185,4053.72,70.9178,0,0.000751056,68.1169,0
13,0,0,0,0,0,0.075204,73.4855,0,7.35499,5544.74,0.999428,94.8789,111.666,75.7652,0.0427321,17.2414,120.176,416.583,0.985995,37.8183,4051.2,70.5407,0,0.000751058,100.752,0
13,0,0,0,0,0,0.075204,73.4855,0,7.35499,5544.74,0.999428,94.8789,111.666,75.7652,0.0427321,17.2414,120.176,416.583,0.985995,37.8183,4051.2,70.5407,0,0.000751058,100.752,0
14,0,0,0,0,0,0.0753271,73.5469,0,7.35517,5544.72,0.999384,94.8359,111.614,75.7358,0.0427321,17.2414,145.133,416.583,0.985565,37.8184,4048.56,70.7318,0,0.00075094,117.758,0
14,0,0,0,0,0,0.0753271,73.5469,0,7.35517,5544.72,0.999384,94.8359,111.614,75.7358,0.0427321,17.2414,145.133,416.583,0.985565,37.8184,4048.56,70.7318,0,0.00075094,117.758,0
15,0,0,0,0,0,0.0754484,73.6119,0,7.35512,5545.54,0.99934,94.8034,111.575,75.7144,0.0427254,17.2414,118.987,416.618,0.985103,37.8183,4045.94,70.8161,0,0.000750841,93.9211,-2.25E-17
15,0,0,0,0,0,0.0754484,73.6119,0,7.35512,5545.54,0.99934,94.8034,111.575,75.7144,0.0427254,17.2414,118.987,416.618,0.985103,37.8183,4045.94,70.8161,0,0.000750841,93.9211,-2.25E-17
16,0,0,0,0,0,0.0755666,73.6908,0,7.35486,5547.84,0.999296,94.7807,111.548,75.699,0.0427254,17.2414,97.1151,416.618,0.984485,37.8182,4043.39,70.6085,0,0.000750809,75.8383,-2.25E-17
16,0,0,0,0,0,0.0755666,73.6908,0,7.35486,5547.84,0.999296,94.7807,111.548,75.699,0.0427254,17.2414,97.1151,416.618,0.984485,37.8182,4043.39,70.6085,0,0.000750809,75.8383,-2.25E-17
17,0,0,0,0,0,0.0756698,73.7553,0,7.35484,5549.27,0.999252,94.7612,111.526,75.6852,0.0427254,17.2414,79.6492,416.618,0.984057,37.818,4040.9,70.1706,0,0.000750832,62.182,0
17,0,0,0,0,0,0.0756698,73.7553,0,7.35484,5549.27,0.999252,94.7612,111.526,75.6852,0.0427254,17.2414,79.6492,416.618,0.984057,37.818,4040.9,70.1706,0,0.000750832,62.182,0
18,0,0,0,0,0,0.0758533,73.8072,0,7.35503,5546.81,0.999208,94.7204,111.472,75.6613,0.0427387,17.2414,141.837,416.647,0.984126,37.8179,4038.32,70.072,0,0.000750794,116.786,0
