Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0665047,73.8487,-1.$,7.36895,5927.86,0.999956,97.4484,116.382,75.5363,0.0413171,15.3061,95.3767,431.172,0.946178,37.4571,5197.61,78.2626,0,0.000804102,78.8757,0
1,0,0,0,0,0,0.0665047,73.8487,-1.$,7.36895,5927.86,0.999956,97.4484,116.382,75.5363,0.0413171,15.3061,95.3767,431.172,0.946178,37.4571,5197.61,78.2626,0,0.000804102,78.8757,0
2,0,0,0,0,0,0.067557,72.3082,0,7.36905,5826.85,0.999912,96.0548,115.627,74.5764,0.0413202,15.3061,77.8874,431.235,0.948249,37.4571,5194.78,77.7694,0,0.000804155,64.1339,-1.66E-17
2,0,0,0,0,0,0.067557,72.3082,0,7.36905,5826.85,0.999912,96.0548,115.627,74.5764,0.0413202,15.3061,77.8874,431.235,0.948249,37.4571,5194.78,77.7694,0,0.000804155,64.1339,-1.66E-17
3,0,0,0,0,0,0.0682472,72.5664,0,7.36898,5855.92,0.999868,95.4589,114.98,73.7065,0.0413202,15.3061,130.535,431.235,0.937477,37.4571,5191.91,77.3756,0,0.000804189,114.937,0
3,0,0,0,0,0,0.0682472,72.5664,0,7.36898,5855.92,0.999868,95.4589,114.98,73.7065,0.0413202,15.3061,130.535,431.235,0.937477,37.4571,5191.91,77.3756,0,0.000804189,114.937,0
4,0,0,0,0,0,0.0685103,72.9398,0,7.36877,5878.64,0.999824,95.3861,114.983,73.6603,0.0413202,15.3061,148.96,431.235,0.933148,37.4573,5188.92,77.5082,0,0.000804135,126.865,0
4,0,0,0,0,0,0.0685103,72.9398,0,7.36877,5878.64,0.999824,95.3861,114.983,73.6603,0.0413202,15.3061,148.96,431.235,0.933148,37.4573,5188.92,77.5082,0,0.000804135,126.865,0
5,0,0,0,0,0,0.0683064,73.1947,0,7.36881,5894.82,0.99978,95.8654,115.006,73.6343,0.0413202,15.3061,119.719,431.235,0.935495,37.4574,5185.93,77.6188,0,0.000804076,99.2286,0
5,0,0,0,0,0,0.0683064,73.1947,0,7.36881,5894.82,0.99978,95.8654,115.006,73.6343,0.0413202,15.3061,119.719,431.235,0.935495,37.4574,5185.93,77.6188,0,0.000804076,99.2286,0
6,0,0,0,0,0,0.0681406,73.322,0,7.36893,5863.83,0.999736,96.2598,115.474,74.472,0.0413457,15.3061,94.978,431.305,0.944495,37.4574,5183.03,77.4327,0,0.000804059,78.0559,0
6,0,0,0,0,0,0.0681406,73.322,0,7.36893,5863.83,0.999736,96.2598,115.474,74.472,0.0413457,15.3061,94.978,431.305,0.944495,37.4574,5183.03,77.4327,0,0.000804059,78.0559,0
7,0,0,0,0,0,0.068167,73.2931,0,7.36892,5839.12,0.999692,96.3278,115.516,74.6933,0.0413457,15.3061,76.1131,431.305,0.949236,37.4574,5180.19,76.9907,0,0.000804084,62.7782,3.32E-17
7,0,0,0,0,0,0.068167,73.2931,0,7.36892,5839.12,0.999692,96.3278,115.516,74.6933,0.0413457,15.3061,76.1131,431.305,0.949236,37.4574,5180.19,76.9907,0,0.000804084,62.7782,3.32E-17
8,0,0,0,0,0,0.0682831,73.1994,0,7.36859,5824.81,0.999648,96.2821,115.424,74.6723,0.0413457,15.3061,145.829,431.305,0.951115,37.4574,5177.25,76.955,0,0.000804061,126.45,0
8,0,0,0,0,0,0.0682831,73.1994,0,7.36859,5824.81,0.999648,96.2821,115.424,74.6723,0.0413457,15.3061,145.829,431.305,0.951115,37.4574,5177.25,76.955,0,0.000804061,126.45,0
