Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0662393,72.2151,-1.$,7.41041,5831.41,0.999956,95.4185,115.143,73.5502,0.038982,12.8755,90.4781,551.952,0.941432,37.3513,5955.95,73.2607,0,0.000807439,76.281,1.44E-17
1,0,0,0,0,0,0.0662393,72.2151,-1.$,7.41041,5831.41,0.999956,95.4185,115.143,73.5502,0.038982,12.8755,90.4781,551.952,0.941432,37.3513,5955.95,73.2607,0,0.000807439,76.281,1.44E-17
2,0,0,0,0,0,0.0669112,71.9929,0,7.41045,5843.2,0.999912,94.5531,114.291,72.9589,0.038982,12.8755,73.2955,551.952,0.930645,37.3513,5953.06,72.752,0,0.000807491,61.6695,0
2,0,0,0,0,0,0.0669112,71.9929,0,7.41045,5843.2,0.999912,94.5531,114.291,72.9589,0.038982,12.8755,73.2955,551.952,0.930645,37.3513,5953.06,72.752,0,0.000807491,61.6695,0
3,0,0,0,0,0,0.0676253,72.3501,0,7.41023,5875.64,0.999868,93.9856,113.686,72.1979,0.038982,12.8755,136.233,551.952,0.919731,37.3514,5950.12,72.4616,0,0.000807512,122.599,0
3,0,0,0,0,0,0.0676253,72.3501,0,7.41023,5875.64,0.999868,93.9856,113.686,72.1979,0.038982,12.8755,136.233,551.952,0.919731,37.3514,5950.12,72.4616,0,0.000807512,122.599,0
4,0,0,0,0,0,0.0678795,72.681,0,7.41038,5895.04,0.999824,93.9067,113.664,72.1445,0.038982,12.8755,145.681,551.952,0.915926,37.3516,5947.06,72.624,0,0.000807469,126.526,0
4,0,0,0,0,0,0.0678795,72.681,0,7.41038,5895.04,0.999824,93.9067,113.664,72.1445,0.038982,12.8755,145.681,551.952,0.915926,37.3516,5947.06,72.624,0,0.000807469,126.526,0
5,0,0,0,0,0,0.0680875,72.9018,0,7.41064,5907.73,0.99978,93.8608,113.659,72.1132,0.038982,12.8755,117.204,551.952,0.913523,37.3516,5944.05,72.6143,0,0.000807439,99.073,0
5,0,0,0,0,0,0.0680875,72.9018,0,7.41064,5907.73,0.99978,93.8608,113.659,72.1132,0.038982,12.8755,117.204,551.952,0.913523,37.3516,5944.05,72.6143,0,0.000807439,99.073,0
6,0,0,0,0,0,0.0682607,73.0502,0,7.41081,5916.73,0.999736,93.8424,113.671,72.1,0.0389619,12.8755,94.6173,551.59,0.911983,37.3517,5941.11,72.3384,0,0.000807437,79.1671,1.44E-17
6,0,0,0,0,0,0.0682607,73.0502,0,7.41081,5916.73,0.999736,93.8424,113.671,72.1,0.0389619,12.8755,94.6173,551.59,0.911983,37.3517,5941.11,72.3384,0,0.000807437,79.1671,1.44E-17
7,0,0,0,0,0,0.0684087,73.1672,0,7.41072,5924.49,0.999692,93.8464,113.704,72.1062,0.0389619,12.8755,76.5866,551.59,0.910866,37.3517,5938.23,71.8585,0,0.000807459,64.2273,-1.44E-17
7,0,0,0,0,0,0.0684087,73.1672,0,7.41072,5924.49,0.999692,93.8464,113.704,72.1062,0.0389619,12.8755,76.5866,551.59,0.910866,37.3517,5938.23,71.8585,0,0.000807459,64.2273,-1.44E-17
8,0,0,0,0,0,0.0678552,73.2841,0,7.41057,5896.33,0.999648,94.8223,114.238,72.9877,0.0389619,12.8755,137.172,551.59,0.92519,37.3517,5935.27,71.6678,0,0.000807451,123.154,0
8,0,0,0,0,0,0.0678552,73.2841,0,7.41057,5896.33,0.999648,94.8223,114.238,72.9877,0.0389619,12.8755,137.172,551.59,0.92519,37.3517,5935.27,71.6678,0,0.000807451,123.154,0
9,0,0,0,0,0,0.0677986,73.2454,0,7.4108,5879.91,0.999604,94.9224,114.332,73.2046,0.0389619,12.8755,142.582,551.59,0.92881,37.3519,5932.17,72.0428,0,0.00080738,122.88,0
9,0,0,0,0,0,0.0677986,73.2454,0,7.4108,5879.91,0.999604,94.9224,114.332,73.2046,0.0389619,12.8755,142.582,551.59,0.92881,37.3519,5932.17,72.0428,0,0.00080738,122.88,0
10,0,0,0,0,0,0.0681947,73.0457,0,7.41103,5858.43,0.99956,94.3824,114.25,72.7654,0.0389619,12.8755,114.025,551.59,0.926709,37.3519,5929.16,72.0741,0,0.000807353,96.2447,0
10,0,0,0,0,0,0.0681947,73.0457,0,7.41103,5858.43,0.99956,94.3824,114.25,72.7654,0.0389619,12.8755,114.025,551.59,0.926709,37.3519,5929.16,72.0741,0,0.000807353,96.2447,0
11,0,0,0,0,0,0.0685488,72.9052,0,7.41109,5877.8,0.999516,93.9199,113.679,72.3382,0.0389411,12.8755,92.1594,551.257,0.918963,37.3519,5926.23,71.7965,0,0.000807366,77.0332,0
11,0,0,0,0,0,0.0685488,72.9052,0,7.41109,5877.8,0.999516,93.9199,113.679,72.3382,0.0389411,12.8755,92.1594,551.257,0.918963,37.3519,5926.23,71.7965,0,0.000807366,77.0332,0
12,0,0,0,0,0,0.068722,72.8841,0,7.41091,5881.92,0.999472,93.7757,113.502,72.1021,0.0389411,12.8755,74.7336,551.257,0.916876,37.3519,5923.36,71.3022,0,0.000807406,62.5279,0
12,0,0,0,0,0,0.068722,72.8841,0,7.41091,5881.92,0.999472,93.7757,113.502,72.1021,0.0389411,12.8755,74.7336,551.257,0.916876,37.3519,5923.36,71.3022,0,0.000807406,62.5279,0
13,0,0,0,0,0,0.0685623,73.2512,0,7.41086,5906.3,0.999428,94.2352,113.526,72.0567,0.0389411,12.8755,137.028,551.257,0.917814,37.3518,5920.42,71.056,0,0.000807421,122.662,0
13,0,0,0,0,0,0.0685623,73.2512,0,7.41086,5906.3,0.999428,94.2352,113.526,72.0567,0.0389411,12.8755,137.028,551.257,0.917814,37.3518,5920.42,71.056,0,0.000807421,122.662,0
14,0,0,0,0,0,0.0683097,73.3161,0,7.41112,5873.86,0.999384,94.6416,113.996,72.892,0.0389411,12.8755,142.153,551.257,0.927051,37.352,5917.33,71.417,0,0.000807365,122.111,0
14,0,0,0,0,0,0.0683097,73.3161,0,7.41112,5873.86,0.999384,94.6416,113.996,72.892,0.0389411,12.8755,142.153,551.257,0.927051,37.352,5917.33,71.417,0,0.000807365,122.111,0
15,0,0,0,0,0,0.0682734,73.3517,0,7.41129,5861.52,0.99934,94.7242,114.089,73.1014,0.0389211,12.931,111.123,550.934,0.929863,37.352,5914.31,71.5345,0,0.000807344,93.4899,0
15,0,0,0,0,0,0.0682734,73.3517,0,7.41129,5861.52,0.99934,94.7242,114.089,73.1014,0.0389211,12.931,111.123,550.934,0.929863,37.352,5914.31,71.5345,0,0.000807344,93.4899,0
16,0,0,0,0,0,0.06828,73.2323,0,7.41125,5845.26,0.999296,94.7018,114.017,73.1097,0.0389211,12.931,87.5834,550.934,0.932233,37.352,5911.37,71.3235,0,0.000807371,73.1799,0
16,0,0,0,0,0,0.06828,73.2323,0,7.41125,5845.26,0.999296,94.7018,114.017,73.1097,0.0389211,12.931,87.5834,550.934,0.932233,37.352,5911.37,71.3235,0,0.000807371,73.1799,0
17,0,0,0,0,0,0.0687432,73.1246,0,7.41104,5858.31,0.999252,93.638,113.354,72.1944,0.0389211,12.931,72.0181,550.934,0.919316,37.3519,5908.52,70.8093,0,0.000807443,60.7338,-1.45E-17
17,0,0,0,0,0,0.0687432,73.1246,0,7.41104,5858.31,0.999252,93.638,113.354,72.1944,0.0389211,12.931,72.0181,550.934,0.919316,37.3519,5908.52,70.8093,0,0.000807443,60.7338,-1.45E-17
18,0,0,0,0,0,0.0693007,73.1055,0,7.41114,5864.59,0.999208,93.4846,113.17,71.9351,0.0389211,12.931,140.842,550.934,0.916792,37.3519,5905.57,70.6284,0,0.000807483,125.161,0
18,0,0,0,0,0,0.0693007,73.1055,0,7.41114,5864.59,0.999208,93.4846,113.17,71.9351,0.0389211,12.931,140.842,550.934,0.916792,37.3519,5905.57,70.6284,0,0.000807483,125.161,0
19,0,0,0,0,0,0.0690165,73.2851,0,7.41142,5877.73,0.999164,93.9615,113.17,71.8904,0.0389211,12.931,137.867,550.934,0.919634,37.3519,5902.5,70.923,0,0.000807464,117.593,0
19,0,0,0,0,0,0.0690165,73.2851,0,7.41142,5877.73,0.999164,93.9615,113.17,71.8904,0.0389211,12.931,137.867,550.934,0.919634,37.3519,5902.5,70.923,0,0.000807464,117.593,0
20,0,0,0,0,0,0.068808,73.479,0,7.41155,5854.34,0.99912,94.3644,113.667,72.7319,0.0389016,12.931,107.847,554.245,0.927455,37.3519,5899.5,70.9759,0,0.000807478,90.3597,0
20,0,0,0,0,0,0.068808,73.479,0,7.41155,5854.34,0.99912,94.3644,113.667,72.7319,0.0389016,12.931,107.847,554.245,0.927455,37.3519,5899.5,70.9759,0,0.000807478,90.3597,0
21,0,0,0,0,0,0.0687949,73.6249,0,7.41142,5854.37,0.999076,94.4718,113.792,72.9497,0.0389016,12.931,85.073,554.245,0.928572,37.3518,5896.58,70.7269,0,0.000807538,70.9364,0
21,0,0,0,0,0,0.0687949,73.6249,0,7.41142,5854.37,0.999076,94.4718,113.792,72.9497,0.0389016,12.931,85.073,554.245,0.928572,37.3518,5896.58,70.7269,0,0.000807538,70.9364,0
22,0,0,0,0,0,0.0688538,73.4341,0,7.4113,5821.95,0.999032,94.3861,113.655,72.9425,0.0389016,12.931,100.058,554.245,0.932892,37.3517,5893.7,70.3101,0,0.000807633,90.4702,0
22,0,0,0,0,0,0.0688538,73.4341,0,7.4113,5821.95,0.999032,94.3861,113.655,72.9425,0.0389016,12.931,100.058,554.245,0.932892,37.3517,5893.7,70.3101,0,0.000807633,90.4702,0
23,0,0,0,0,0,0.0688923,73.3431,0,7.41157,5810.58,0.998988,94.3213,113.545,72.8833,0.0389016,12.931,147.871,554.245,0.934062,37.3517,5890.65,70.5386,0,0.000807662,129.229,2.89E-17
23,0,0,0,0,0,0.0688923,73.3431,0,7.41157,5810.58,0.998988,94.3213,113.545,72.8833,0.0389016,12.931,147.871,554.245,0.934062,37.3517,5890.65,70.5386,0,0.000807662,129.229,2.89E-17
24,0,0,0,0,0,0.0689563,73.3256,0,7.41182,5802.51,0.998944,94.2559,113.455,72.8431,0.0388471,12.931,122.953,553.897,0.934698,37.3517,5887.61,70.7789,0,0.000807694,103.872,0
24,0,0,0,0,0,0.0689563,73.3256,0,7.41182,5802.51,0.998944,94.2559,113.455,72.8431,0.0388471,12.931,122.953,553.897,0.934698,37.3517,5887.61,70.7789,0,0.000807694,103.872,0
25,0,0,0,0,0,0.0690535,73.3785,0,7.41187,5798.32,0.998901,94.1854,113.378,72.8075,0.0388471,12.931,96.5813,553.897,0.934659,37.3516,5884.65,70.6599,0,0.000807777,80.5435,-1.45E-17
25,0,0,0,0,0,0.0690535,73.3785,0,7.41187,5798.32,0.998901,94.1854,113.378,72.8075,0.0388471,12.931,96.5813,553.897,0.934659,37.3516,5884.65,70.6599,0,0.000807777,80.5435,-1.45E-17
26,0,0,0,0,0,0.0691703,73.4744,0,7.41171,5798.07,0.998857,94.1173,113.31,72.7703,0.0388471,12.931,76.3486,553.897,0.934012,37.3514,5881.78,70.2561,0,0.000807904,63.6691,0
26,0,0,0,0,0,0.0691703,73.4744,0,7.41171,5798.07,0.998857,94.1173,113.31,72.7703,0.0388471,12.931,76.3486,553.897,0.934012,37.3514,5881.78,70.2561,0,0.000807904,63.6691,0
27,0,0,0,0,0,0.0693573,73.6117,0,7.41175,5798.95,0.998813,94.0128,113.183,72.699,0.0388471,12.931,135.796,553.897,0.932829,37.3513,5878.85,70.0356,0,0.000808022,121.063,0
27,0,0,0,0,0,0.0693573,73.6117,0,7.41175,5798.95,0.998813,94.0128,113.183,72.699,0.0388471,12.931,135.796,553.897,0.932829,37.3513,5878.85,70.0356,0,0.000808022,121.063,0
28,0,0,0,0,0,0.0694383,73.6376,0,7.41206,5796.44,0.998769,93.9656,113.123,72.6662,0.0388471,12.931,140.607,553.897,0.932766,37.3513,5875.79,70.343,0,0.000808082,120.126,0
28,0,0,0,0,0,0.0694383,73.6376,0,7.41206,5796.44,0.998769,93.9656,113.123,72.6662,0.0388471,12.931,140.607,553.897,0.932766,37.3513,5875.79,70.343,0,0.000808082,120.126,0
29,0,0,0,0,0,0.0695247,73.6859,0,7.41225,5796.19,0.998725,93.9278,113.076,72.642,0.0388049,12.931,109.95,553.549,0.932437,37.3512,5872.8,70.3915,0,0.00080818,91.9818,0
29,0,0,0,0,0,0.0695247,73.6859,0,7.41225,5796.19,0.998725,93.9278,113.076,72.642,0.0388049,12.931,109.95,553.549,0.932437,37.3512,5872.8,70.3915,0,0.00080818,91.9818,0
30,0,0,0,0,0,0.0696186,73.7644,0,7.41221,5798.71,0.998681,93.901,113.044,72.629,0.0388049,12.931,86.726,553.549,0.931778,37.351,5869.89,70.1196,0,0.000808328,72.0672,0
30,0,0,0,0,0,0.0696186,73.7644,0,7.41221,5798.71,0.998681,93.901,113.044,72.629,0.0388049,12.931,86.726,553.549,0.931778,37.351,5869.89,70.1196,0,0.000808328,72.0672,0
31,0,0,0,0,0,0.0697855,73.9171,0,7.41205,5804.04,0.998637,93.8613,112.999,72.618,0.0388049,12.931,88.4384,553.549,0.930562,37.3507,5867.04,69.6396,0,0.000808513,78.9649,0
31,0,0,0,0,0,0.0697855,73.9171,0,7.41205,5804.04,0.998637,93.8613,112.999,72.618,0.0388049,12.931,88.4384,553.549,0.930562,37.3507,5867.04,69.6396,0,0.000808513,78.9649,0
32,0,0,0,0,0,0.0698449,73.9192,0,7.41225,5801.15,0.998593,93.834,112.962,72.6003,0.0388049,12.931,146.881,553.549,0.930768,37.3506,5864.02,69.7644,0,0.000808639,128.266,-5.78E-17
32,0,0,0,0,0,0.0698449,73.9192,0,7.41225,5801.15,0.998593,93.834,112.962,72.6003,0.0388049,12.931,146.881,553.549,0.930768,37.3506,5864.02,69.7644,0,0.000808639,128.266,-5.78E-17
33,0,0,0,0,0,0.0699041,73.919,0,7.41253,5798.36,0.998549,93.8074,112.927,72.5817,0.0388049,12.931,125.615,553.549,0.930966,37.3505,5860.98,70.002,0,0.000808758,105.907,0
33,0,0,0,0,0,0.0699041,73.919,0,7.41253,5798.36,0.998549,93.8074,112.927,72.5817,0.0388049,12.931,125.615,553.549,0.930966,37.3505,5860.98,70.002,0,0.000808758,105.907,0
34,0,0,0,0,0,0.069971,73.95,0,7.41266,5798.19,0.998505,93.7867,112.9,72.57,0.0387582,12.931,98.7214,553.209,0.930804,37.3503,5858.04,69.8967,0,0.000808929,82.0848,0
34,0,0,0,0,0,0.069971,73.95,0,7.41266,5798.19,0.998505,93.7867,112.9,72.57,0.0387582,12.931,98.7214,553.209,0.930804,37.3503,5858.04,69.8967,0,0.000808929,82.0848,0
35,0,0,0,0,0,0.070046,74.0128,0,7.41253,5800.56,0.998461,93.7725,112.884,72.5665,0.0387582,12.931,78.0712,553.209,0.930302,37.35,5855.17,69.5099,0,0.000809148,64.8689,0
35,0,0,0,0,0,0.070046,74.0128,0,7.41253,5800.56,0.998461,93.7725,112.884,72.5665,0.0387582,12.931,78.0712,553.209,0.930302,37.35,5855.17,69.5099,0,0.000809148,64.8689,0
36,0,0,0,0,0,0.0701671,74.102,0,7.41246,5802.39,0.998417,93.7407,112.847,72.5573,0.0387582,12.931,129.268,553.209,0.929734,37.3497,5852.27,69.2093,0,0.000809374,115.438,0
36,0,0,0,0,0,0.0701671,74.102,0,7.41246,5802.39,0.998417,93.7407,112.847,72.5573,0.0387582,12.931,129.268,553.209,0.929734,37.3497,5852.27,69.2093,0,0.000809374,115.438,0
37,0,0,0,0,0,0.0702111,74.085,0,7.41274,5798.57,0.998373,93.7149,112.812,72.5386,0.0387582,12.931,143.751,553.209,0.930104,37.3495,5849.22,69.5064,0,0.000809537,123.316,-2.89E-17
37,0,0,0,0,0,0.0702111,74.085,0,7.41274,5798.57,0.998373,93.7149,112.812,72.5386,0.0387582,12.931,143.751,553.209,0.930104,37.3495,5849.22,69.5064,0,0.000809537,123.316,-2.89E-17
38,0,0,0,0,0,0.070261,74.0848,0,7.41296,5796.14,0.998329,93.6906,112.78,72.5216,0.0387083,12.931,112.569,552.875,0.930267,37.3493,5846.23,69.5949,0,0.000809736,94.05,0
38,0,0,0,0,0,0.070261,74.0848,0,7.41296,5796.14,0.998329,93.6906,112.78,72.5216,0.0387083,12.931,112.569,552.875,0.930267,37.3493,5846.23,69.5949,0,0.000809736,94.05,0
39,0,0,0,0,0,0.0703221,74.1217,0,7.413,5796.61,0.998285,93.6716,112.757,72.5119,0.0387083,12.931,88.7781,552.875,0.930019,37.349,5843.32,69.357,0,0.000809988,73.6045,0
39,0,0,0,0,0,0.0703221,74.1217,0,7.413,5796.61,0.998285,93.6716,112.757,72.5119,0.0387083,12.931,88.7781,552.875,0.930019,37.349,5843.32,69.357,0,0.000809988,73.6045,0
40,0,0,0,0,0,0.0703905,74.2441,0,7.41282,5801.1,0.998242,93.6414,112.725,72.5056,0.0387083,12.931,78.6299,552.875,0.929038,37.3486,5840.48,68.8809,0,0.000810288,68.4712,-1.45E-17
