Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0680446,71.9213,-1.$,7.37127,5788.93,0.999956,94.2015,113.149,73.3988,0.041649,14.7783,128.057,440.227,0.935413,37.6895,5058.8,68.3197,0,0.000770612,108.817,0
1,0,0,0,0,0,0.0680446,71.9213,-1.$,7.37127,5788.93,0.999956,94.2015,113.149,73.3988,0.041649,14.7783,128.057,440.227,0.935413,37.6895,5058.8,68.3197,0,0.000770612,108.817,0
2,0,0,0,0,0,0.0685687,72.2674,0,7.37109,5835.02,0.999912,93.5558,112.377,72.7788,0.041649,14.7783,103.728,440.227,0.921397,37.6895,5056.31,68.1952,0,0.000770587,86.9479,-1.78E-17
2,0,0,0,0,0,0.0685687,72.2674,0,7.37109,5835.02,0.999912,93.5558,112.377,72.7788,0.041649,14.7783,103.728,440.227,0.921397,37.6895,5056.31,68.1952,0,0.000770587,86.9479,-1.78E-17
3,0,0,0,0,0,0.0688498,72.2579,0,7.37114,5840.99,0.999868,93.2766,112.046,72.355,0.041649,14.7783,84.517,440.227,0.917605,37.6895,5053.88,67.8209,0,0.00077059,70.5683,-1.78E-17
3,0,0,0,0,0,0.0688498,72.2579,0,7.37114,5840.99,0.999868,93.2766,112.046,72.355,0.041649,14.7783,84.517,440.227,0.917605,37.6895,5053.88,67.8209,0,0.00077059,70.5683,-1.78E-17
4,0,0,0,0,0,0.069282,72.7875,0,7.37126,5876,0.999824,93.128,111.984,72.2128,0.0416768,14.7783,88.5672,440.314,0.910682,37.6894,5051.48,67.2999,0,0.000770609,79.0396,0
4,0,0,0,0,0,0.069282,72.7875,0,7.37126,5876,0.999824,93.128,111.984,72.2128,0.0416768,14.7783,88.5672,440.314,0.910682,37.6894,5051.48,67.2999,0,0.000770609,79.0396,0
5,0,0,0,0,0,0.069453,73.0055,0,7.37103,5890.86,0.99978,93.1133,112.018,72.2062,0.0416768,14.7783,146.456,440.314,0.908276,37.6895,5048.96,67.2886,0,0.000770553,128.159,-3.55E-17
5,0,0,0,0,0,0.069453,73.0055,0,7.37103,5890.86,0.99978,93.1133,112.018,72.2062,0.0416768,14.7783,146.456,440.314,0.908276,37.6895,5048.96,67.2886,0,0.000770553,128.159,-3.55E-17
6,0,0,0,0,0,0.0695767,73.1387,0,7.37086,5901.44,0.999736,93.1204,112.06,72.2095,0.0416768,14.7783,134.408,440.314,0.906763,37.6895,5046.41,67.4532,0,0.000770465,113.949,0
6,0,0,0,0,0,0.0695767,73.1387,0,7.37086,5901.44,0.999736,93.1204,112.06,72.2095,0.0416768,14.7783,134.408,440.314,0.906763,37.6895,5046.41,67.4532,0,0.000770465,113.949,0
7,0,0,0,0,0,0.0692395,73.1772,0,7.37094,5907.14,0.999692,93.6454,112.1,72.217,0.0416768,14.7783,106.569,440.314,0.91125,37.6895,5043.9,67.4586,0,0.000770398,89.0512,1.78E-17
7,0,0,0,0,0,0.0692395,73.1772,0,7.37094,5907.14,0.999692,93.6454,112.1,72.217,0.0416768,14.7783,106.569,440.314,0.91125,37.6895,5043.9,67.4586,0,0.000770398,89.0512,1.78E-17
8,0,0,0,0,0,0.0689669,73.1722,0,7.37106,5869.32,0.999648,94.0731,112.572,73.0634,0.0417113,14.7783,84.8168,440.404,0.921511,37.6895,5041.45,67.2189,0,0.000770369,70.7292,-1.78E-17
8,0,0,0,0,0,0.0689669,73.1722,0,7.37106,5869.32,0.999648,94.0731,112.572,73.0634,0.0417113,14.7783,84.8168,440.404,0.921511,37.6895,5041.45,67.2189,0,0.000770369,70.7292,-1.78E-17
9,0,0,0,0,0,0.0696446,73.0169,0,7.37093,5874.93,0.999604,93.2657,112.173,72.4812,0.0417113,14.7783,88.5571,440.404,0.91245,37.6894,5039.05,66.7554,0,0.000770379,78.8909,1.78E-17
9,0,0,0,0,0,0.0696446,73.0169,0,7.37093,5874.93,0.999604,93.2657,112.173,72.4812,0.0417113,14.7783,88.5571,440.404,0.91245,37.6894,5039.05,66.7554,0,0.000770379,78.8909,1.78E-17
10,0,0,0,0,0,0.0697628,72.8914,0,7.37061,5873.37,0.99956,93.1432,111.999,72.2563,0.0417113,14.7783,146.298,440.404,0.911473,37.6894,5036.54,66.7725,0,0.000770325,127.876,0
10,0,0,0,0,0,0.0697628,72.8914,0,7.37061,5873.37,0.99956,93.1432,111.999,72.2563,0.0417113,14.7783,146.298,440.404,0.911473,37.6894,5036.54,66.7725,0,0.000770325,127.876,0
11,0,0,0,0,0,0.0698541,72.971,0,7.37068,5880.01,0.999516,93.115,111.986,72.2182,0.0417113,14.7783,134.385,440.404,0.910188,37.6895,5033.99,66.9586,0,0.000770241,113.804,0
11,0,0,0,0,0,0.0698541,72.971,0,7.37068,5880.01,0.999516,93.115,111.986,72.2182,0.0417113,14.7783,134.385,440.404,0.910188,37.6895,5033.99,66.9586,0,0.000770241,113.804,0
12,0,0,0,0,0,0.0699343,73.0812,0,7.37078,5888.03,0.999472,93.1114,112.01,72.2179,0.0417395,14.7783,108.848,440.487,0.908948,37.6894,5031.5,66.9036,0,0.000770191,90.8978,1.78E-17
12,0,0,0,0,0,0.0699343,73.0812,0,7.37078,5888.03,0.999472,93.1114,112.01,72.2179,0.0417395,14.7783,108.848,440.487,0.908948,37.6894,5031.5,66.9036,0,0.000770191,90.8978,1.78E-17
13,0,0,0,0,0,0.0700064,73.1662,0,7.37067,5894.28,0.999428,93.1166,112.037,72.2247,0.0417395,14.7783,88.7823,440.487,0.908072,37.6893,5029.06,66.621,0,0.000770174,73.8011,1.78E-17
13,0,0,0,0,0,0.0700064,73.1662,0,7.37067,5894.28,0.999428,93.1166,112.037,72.2247,0.0417395,14.7783,88.7823,440.487,0.908072,37.6893,5029.06,66.621,0,0.000770174,73.8011,1.78E-17
14,0,0,0,0,0,0.0693784,73.2566,0,7.37039,5860.91,0.999384,94.0301,112.515,73.0719,0.0417395,14.7783,89.7549,440.487,0.922627,37.6892,5026.65,66.2367,0,0.000770179,79.8041,0
14,0,0,0,0,0,0.0693784,73.2566,0,7.37039,5860.91,0.999384,94.0301,112.515,73.0719,0.0417395,14.7783,89.7549,440.487,0.922627,37.6892,5026.65,66.2367,0,0.000770179,79.8041,0
15,0,0,0,0,0,0.0693138,73.2348,0,7.37042,5843.24,0.99934,94.1066,112.584,73.2747,0.0417395,14.7783,147.796,440.487,0.926211,37.6893,5024.1,66.4478,0,0.00077011,128.768,0
15,0,0,0,0,0,0.0693138,73.2348,0,7.37042,5843.24,0.99934,94.1066,112.584,73.2747,0.0417395,14.7783,147.796,440.487,0.926211,37.6893,5024.1,66.4478,0,0.00077011,128.768,0
16,0,0,0,0,0,0.0697102,73.058,0,7.37053,5820.6,0.999296,93.5646,112.478,72.9565,0.0417593,14.7783,130.565,440.565,0.924248,37.6893,5021.55,66.6753,0,0.000770041,110.393,0
16,0,0,0,0,0,0.0697102,73.058,0,7.37053,5820.6,0.999296,93.5646,112.478,72.9565,0.0417593,14.7783,130.565,440.565,0.924248,37.6893,5021.55,66.6753,0,0.000770041,110.393,0
17,0,0,0,0,0,0.0700728,72.9362,0,7.37041,5841.18,0.999252,93.0933,111.905,72.4004,0.0417593,14.7783,105.883,440.565,0.916177,37.6892,5019.07,66.593,0,0.000770019,88.2814,0
17,0,0,0,0,0,0.0700728,72.9362,0,7.37041,5841.18,0.999252,93.0933,111.905,72.4004,0.0417593,14.7783,105.883,440.565,0.916177,37.6892,5019.07,66.593,0,0.000770019,88.2814,0
18,0,0,0,0,0,0.0702509,72.9272,0,7.37015,5845.4,0.999208,92.9321,111.713,72.1523,0.0417593,14.7783,86.3393,440.565,0.91389,37.6891,5016.65,66.2692,0,0.000770032,71.696,0
18,0,0,0,0,0,0.0702509,72.9272,0,7.37015,5845.4,0.999208,92.9321,111.713,72.1523,0.0417593,14.7783,86.3393,440.565,0.91389,37.6891,5016.65,66.2692,0,0.000770032,71.696,0
19,0,0,0,0,0,0.0700987,73.2947,0,7.37012,5870.14,0.999164,93.3503,111.716,72.0816,0.0417593,14.7783,89.4837,440.565,0.914365,37.6889,5014.26,65.7992,0,0.00077007,79.4242,0
19,0,0,0,0,0,0.0700987,73.2947,0,7.37012,5870.14,0.999164,93.3503,111.716,72.0816,0.0417593,14.7783,89.4837,440.565,0.914365,37.6889,5014.26,65.7992,0,0.00077007,79.4242,0
20,0,0,0,0,0,0.0698663,73.3972,0,7.37031,5837.73,0.99912,93.7372,112.168,72.8971,0.0417634,14.7783,147.656,440.639,0.923432,37.6889,5011.72,65.976,0,0.000770021,128.28,0
20,0,0,0,0,0,0.0698663,73.3972,0,7.37031,5837.73,0.99912,93.7372,112.168,72.8971,0.0417634,14.7783,147.656,440.639,0.923432,37.6889,5011.72,65.976,0,0.000770021,128.28,0
21,0,0,0,0,0,0.0698461,73.4684,0,7.37019,5828.08,0.999076,93.82,112.263,73.1021,0.0417634,14.7783,127.082,440.639,0.925828,37.6889,5009.16,66.2845,0,0.000769956,107.001,0
21,0,0,0,0,0,0.0698461,73.4684,0,7.37019,5828.08,0.999076,93.82,112.263,73.1021,0.0417634,14.7783,127.082,440.639,0.925828,37.6889,5009.16,66.2845,0,0.000769956,107.001,0
22,0,0,0,0,0,0.0698698,73.3692,0,7.36996,5810.88,0.999032,93.7891,112.194,73.1153,0.0417634,14.7783,100.658,440.639,0.928262,37.6888,5006.67,66.2625,0,0.000769946,83.7427,0
22,0,0,0,0,0,0.0698698,73.3692,0,7.36996,5810.88,0.999032,93.7891,112.194,73.1153,0.0417634,14.7783,100.658,440.639,0.928262,37.6888,5006.67,66.2625,0,0.000769946,83.7427,0
23,0,0,0,0,0,0.0699091,73.2607,0,7.36993,5795.19,0.998988,93.7266,112.08,73.0757,0.0417634,14.7783,80.2343,440.639,0.930137,37.6886,5004.25,65.9593,0,0.000769987,66.6905,-1.78E-17
23,0,0,0,0,0,0.0699091,73.2607,0,7.36993,5795.19,0.998988,93.7266,112.08,73.0757,0.0417634,14.7783,80.2343,440.639,0.930137,37.6886,5004.25,65.9593,0,0.000769987,66.6905,-1.78E-17
24,0,0,0,0,0,0.0700639,73.2016,0,7.37013,5773.1,0.998944,93.5679,111.857,72.9795,0.0417748,14.7783,129.075,440.706,0.932064,37.6885,5001.81,65.7134,0,0.000770029,114.558,0
24,0,0,0,0,0,0.0700639,73.2016,0,7.37013,5773.1,0.998944,93.5679,111.857,72.9795,0.0417748,14.7783,129.075,440.706,0.932064,37.6885,5001.81,65.7134,0,0.000770029,114.558,0
25,0,0,0,0,0,0.0701871,73.2663,0,7.37003,5768.11,0.998901,93.4816,111.762,72.9312,0.0417748,14.7783,144.248,440.706,0.931985,37.6885,4999.25,66.0275,0,0.000769993,123.324,3.56E-17
25,0,0,0,0,0,0.0701871,73.2663,0,7.37003,5768.11,0.998901,93.4816,111.762,72.9312,0.0417748,14.7783,144.248,440.706,0.931985,37.6885,4999.25,66.0275,0,0.000769993,123.324,3.56E-17
26,0,0,0,0,0,0.0703254,73.3655,0,7.36982,5765.96,0.998857,93.3962,111.679,72.8827,0.0417748,14.7783,113.768,440.706,0.931459,37.6884,4996.73,66.1389,0,0.000769988,94.9263,0
26,0,0,0,0,0,0.0703254,73.3655,0,7.36982,5765.96,0.998857,93.3962,111.679,72.8827,0.0417748,14.7783,113.768,440.706,0.931459,37.6884,4996.73,66.1389,0,0.000769988,94.9263,0
27,0,0,0,0,0,0.0704519,73.4483,0,7.36982,5764.99,0.998813,93.3199,111.6,72.8293,0.0417748,14.7783,90.4179,440.706,0.93084,37.6882,4994.29,65.9301,0,0.000770035,74.9068,0
27,0,0,0,0,0,0.0704519,73.4483,0,7.36982,5764.99,0.998813,93.3199,111.6,72.8293,0.0417748,14.7783,90.4179,440.706,0.93084,37.6882,4994.29,65.9301,0,0.000770035,74.9068,0
28,0,0,0,0,0,0.0705613,73.5681,0,7.36998,5765.54,0.998769,93.223,111.479,72.753,0.0417749,14.7783,79.6466,440.761,0.929785,37.688,4991.9,65.4866,0,0.000770123,68.8747,0
28,0,0,0,0,0,0.0705613,73.5681,0,7.36998,5765.54,0.998769,93.223,111.479,72.753,0.0417749,14.7783,79.6466,440.761,0.929785,37.688,4991.9,65.4866,0,0.000770123,68.8747,0
29,0,0,0,0,0,0.0707716,73.652,0,7.36995,5768.37,0.998725,93.1974,111.448,72.7395,0.0417749,14.7783,145.325,440.761,0.929086,37.6879,4989.4,65.5318,0,0.000770149,126.177,3.56E-17
29,0,0,0,0,0,0.0707716,73.652,0,7.36995,5768.37,0.998725,93.1974,111.448,72.7395,0.0417749,14.7783,145.325,440.761,0.929086,37.6879,4989.4,65.5318,0,0.000770149,126.177,3.56E-17
30,0,0,0,0,0,0.0708698,73.7415,0,7.36973,5772.03,0.998681,93.181,111.429,72.7357,0.0417749,14.7783,129.375,440.761,0.928352,37.6878,4986.85,65.7912,0,0.000770145,108.621,0
30,0,0,0,0,0,0.0708698,73.7415,0,7.36973,5772.03,0.998681,93.181,111.429,72.7357,0.0417749,14.7783,129.375,440.761,0.928352,37.6878,4986.85,65.7912,0,0.000770145,108.621,0
31,0,0,0,0,0,0.0709501,73.7932,0,7.36976,5772.97,0.998637,93.1644,111.409,72.7303,0.0417749,14.7783,102.445,440.761,0.928056,37.6876,4984.37,65.7378,0,0.000770192,84.8713,0
31,0,0,0,0,0,0.0709501,73.7932,0,7.36976,5772.97,0.998637,93.1644,111.409,72.7303,0.0417749,14.7783,102.445,440.761,0.928056,37.6876,4984.37,65.7378,0,0.000770192,84.8713,0
32,0,0,0,0,0,0.0710206,73.8079,0,7.36991,5771.3,0.998593,93.146,111.383,72.7199,0.0417749,14.7783,81.697,440.761,0.928161,37.6873,4981.96,65.4095,0,0.000770288,67.5667,0
32,0,0,0,0,0,0.0710206,73.8079,0,7.36991,5771.3,0.998593,93.146,111.383,72.7199,0.0417749,14.7783,81.697,440.761,0.928161,37.6873,4981.96,65.4095,0,0.000770288,67.5667,0
33,0,0,0,0,0,0.0711654,73.8686,0,7.36992,5771.09,0.998549,93.1208,111.348,72.7097,0.0417773,14.8515,120.876,440.803,0.927985,37.6871,4979.55,65.067,0,0.000770398,107.237,0
33,0,0,0,0,0,0.0711654,73.8686,0,7.36992,5771.09,0.998549,93.1208,111.348,72.7097,0.0417773,14.8515,120.876,440.803,0.927985,37.6871,4979.55,65.067,0,0.000770398,107.237,0
34,0,0,0,0,0,0.0712356,73.9212,0,7.36969,5772.82,0.998505,93.1132,111.339,72.7117,0.0417773,14.8515,145.474,440.803,0.927655,37.687,4977,65.3348,0,0.000770425,124.279,0
34,0,0,0,0,0,0.0712356,73.9212,0,7.36969,5772.82,0.998505,93.1132,111.339,72.7117,0.0417773,14.8515,145.474,440.803,0.927655,37.687,4977,65.3348,0,0.000770425,124.279,0
35,0,0,0,0,0,0.0712919,73.9417,0,7.36974,5771.98,0.998461,93.1006,111.322,72.7079,0.0417773,14.8515,116.353,440.803,0.927687,37.6868,4974.49,65.4704,0,0.000770476,96.8098,0
35,0,0,0,0,0,0.0712919,73.9417,0,7.36974,5771.98,0.998461,93.1006,111.322,72.7079,0.0417773,14.8515,116.353,440.803,0.927687,37.6868,4974.49,65.4704,0,0.000770476,96.8098,0
