Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0685154,72.0316,-1.$,7.35975,5789.04,0.999956,92.2798,113.374,69.1521,0.0427,15.4639,121.95,431.572,0.915693,37.7778,4421.31,63.9069,0,0.000767874,112.394,0
1,0,0,0,0,0,0.0685154,72.0316,-1.$,7.35975,5789.04,0.999956,92.2798,113.374,69.1521,0.0427,15.4639,121.95,431.572,0.915693,37.7778,4421.31,63.9069,0,0.000767874,112.394,0
2,0,0,0,0,0,0.0691819,72.6163,0,7.35983,5846.82,0.999912,91.5321,112.623,68.5985,0.0427036,15.4639,149.409,431.691,0.898998,37.7779,4417.41,64.0171,0,0.000767797,132.201,0
2,0,0,0,0,0,0.0691819,72.6163,0,7.35983,5846.82,0.999912,91.5321,112.623,68.5985,0.0427036,15.4639,149.409,431.691,0.898998,37.7779,4417.41,64.0171,0,0.000767797,132.201,0
3,0,0,0,0,0,0.0696085,72.8754,0,7.35954,5868.15,0.999868,91.2362,112.332,68.3792,0.0427036,15.4639,121.564,431.691,0.892747,37.7779,4413.55,64.0152,0,0.000767721,104.461,0
3,0,0,0,0,0,0.0696085,72.8754,0,7.35954,5868.15,0.999868,91.2362,112.332,68.3792,0.0427036,15.4639,121.564,431.691,0.892747,37.7779,4413.55,64.0152,0,0.000767721,104.461,0
4,0,0,0,0,0,0.0694903,73.3253,0,7.35939,5895.12,0.999824,91.6679,112.303,68.6996,0.0427036,15.4639,92.8363,431.691,0.893096,37.7778,4409.78,63.7733,0,0.000767676,78.9513,2.04E-17
4,0,0,0,0,0,0.0694903,73.3253,0,7.35939,5895.12,0.999824,91.6679,112.303,68.6996,0.0427036,15.4639,92.8363,431.691,0.893096,37.7778,4409.78,63.7733,0,0.000767676,78.9513,2.04E-17
5,0,0,0,0,0,0.0694493,73.6783,0,7.3595,5878.74,0.99978,91.9859,112.734,69.4969,0.0427036,15.4639,71.2588,431.691,0.898869,37.7777,4406.11,63.2771,0,0.000767673,60.8841,0
5,0,0,0,0,0,0.0694493,73.6783,0,7.3595,5878.74,0.99978,91.9859,112.734,69.4969,0.0427036,15.4639,71.2588,431.691,0.898869,37.7777,4406.11,63.2771,0,0.000767673,60.8841,0
6,0,0,0,0,0,0.0696806,73.8624,0,7.35957,5872.58,0.999736,92.0193,112.757,69.5214,0.0427461,15.4639,138.567,431.821,0.90024,37.7777,4402.35,63.0117,0,0.000767635,125.418,0
6,0,0,0,0,0,0.0696806,73.8624,0,7.35957,5872.58,0.999736,92.0193,112.757,69.5214,0.0427461,15.4639,138.567,431.821,0.90024,37.7777,4402.35,63.0117,0,0.000767635,125.418,0
7,0,0,0,0,0,0.0698215,73.8336,0,7.35922,5861.88,0.999692,91.964,112.674,69.494,0.0427461,15.4639,141.884,431.821,0.901356,37.7777,4398.41,63.2876,0,0.000767499,123.063,0
7,0,0,0,0,0,0.0698215,73.8336,0,7.35922,5861.88,0.999692,91.964,112.674,69.494,0.0427461,15.4639,141.884,431.821,0.901356,37.7777,4398.41,63.2876,0,0.000767499,123.063,0
8,0,0,0,0,0,0.0699592,73.8411,0,7.35913,5855.09,0.999648,91.9073,112.595,69.4615,0.0427461,15.4639,107.425,431.821,0.901862,37.7777,4394.57,63.2778,0,0.000767411,91.5669,0
8,0,0,0,0,0,0.0699592,73.8411,0,7.35913,5855.09,0.999648,91.9073,112.595,69.4615,0.0427461,15.4639,107.425,431.821,0.901862,37.7777,4394.57,63.2778,0,0.000767411,91.5669,0
9,0,0,0,0,0,0.0700918,73.8522,0,7.35927,5849.01,0.999604,91.85,112.515,69.4284,0.0427461,15.4639,82.2442,431.821,0.902251,37.7776,4390.86,62.9279,0,0.000767382,69.8404,-4.07E-17
9,0,0,0,0,0,0.0700918,73.8522,0,7.35927,5849.01,0.999604,91.85,112.515,69.4284,0.0427461,15.4639,82.2442,431.821,0.902251,37.7776,4390.86,62.9279,0,0.000767382,69.8404,-4.07E-17
10,0,0,0,0,0,0.0703696,73.9499,0,7.35931,5843.63,0.99956,91.7512,112.382,69.3701,0.042778,15.4639,87.1558,431.92,0.902149,37.7774,4387.21,62.3706,0,0.000767396,79.8982,0
10,0,0,0,0,0,0.0703696,73.9499,0,7.35931,5843.63,0.99956,91.7512,112.382,69.3701,0.042778,15.4639,87.1558,431.92,0.902149,37.7774,4387.21,62.3706,0,0.000767396,79.8982,0
11,0,0,0,0,0,0.0705114,74.0389,0,7.35889,5844.45,0.999516,91.712,112.331,69.345,0.042778,15.4639,149.427,431.92,0.901663,37.7774,4383.34,62.4605,0,0.0007673,132.198,0
11,0,0,0,0,0,0.0705114,74.0389,0,7.35889,5844.45,0.999516,91.712,112.331,69.345,0.042778,15.4639,149.427,431.92,0.901663,37.7774,4383.34,62.4605,0,0.0007673,132.198,0
12,0,0,0,0,0,0.0706405,74.1072,0,7.35886,5843.86,0.999472,91.6727,112.28,69.3198,0.042778,15.4639,124.662,431.92,0.901395,37.7773,4379.44,62.6493,0,0.000767183,106.745,0
12,0,0,0,0,0,0.0706405,74.1072,0,7.35886,5843.86,0.999472,91.6727,112.28,69.3198,0.042778,15.4639,124.662,431.92,0.901395,37.7773,4379.44,62.6493,0,0.000767183,106.745,0
13,0,0,0,0,0,0.0707618,74.1436,0,7.35903,5841.09,0.999428,91.6323,112.225,69.2967,0.042778,15.4639,95.0332,431.92,0.901453,37.7772,4375.68,62.4705,0,0.00076713,80.4848,0
13,0,0,0,0,0,0.0707618,74.1436,0,7.35903,5841.09,0.999428,91.6323,112.225,69.2967,0.042778,15.4639,95.0332,431.92,0.901453,37.7772,4375.68,62.4705,0,0.00076713,80.4848,0
14,0,0,0,0,0,0.0708842,74.1867,0,7.35907,5839.13,0.999384,91.5962,112.176,69.2766,0.0427871,15.4639,73.0312,431.975,0.901428,37.777,4372.02,61.9996,0,0.000767137,61.9944,0
