Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.068103,73.8424,-1.$,7.35959,5903.03,0.999956,96.1556,114.238,75.1842,0.0434419,13.6986,80.5512,471.335,0.937018,37.7824,4412.48,71.4424,0,0.000763459,66.7094,2.05E-17
1,0,0,0,0,0,0.068103,73.8424,-1.$,7.35959,5903.03,0.999956,96.1556,114.238,75.1842,0.0434419,13.6986,80.5512,471.335,0.937018,37.7824,4412.48,71.4424,0,0.000763459,66.7094,2.05E-17
2,0,0,0,0,0,0.0697367,72.5157,0,7.35965,5831.51,0.999912,94.1509,112.936,73.3027,0.0434419,13.6986,121.342,471.335,0.927938,37.7823,4409.29,71.0024,0,0.000763481,107.269,0
2,0,0,0,0,0,0.0697367,72.5157,0,7.35965,5831.51,0.999912,94.1509,112.936,73.3027,0.0434419,13.6986,121.342,471.335,0.927938,37.7823,4409.29,71.0024,0,0.000763481,107.269,0
3,0,0,0,0,0,0.070067,72.7127,0,7.35994,5847.05,0.999868,93.9299,112.72,73.0146,0.0434419,13.6986,148.579,471.335,0.923237,37.7824,4405.96,71.0708,0,0.000763396,126.947,4.10E-17
3,0,0,0,0,0,0.070067,72.7127,0,7.35994,5847.05,0.999868,93.9299,112.72,73.0146,0.0434419,13.6986,148.579,471.335,0.923237,37.7824,4405.96,71.0708,0,0.000763396,126.947,4.10E-17
4,0,0,0,0,0,0.0703667,73.1,0,7.35982,5871.05,0.999824,93.8343,112.702,72.9386,0.0434743,13.6986,124.838,471.496,0.918534,37.7824,4402.66,71.0813,0,0.000763307,104.028,0
4,0,0,0,0,0,0.0703667,73.1,0,7.35982,5871.05,0.999824,93.8343,112.702,72.9386,0.0434743,13.6986,124.838,471.496,0.918534,37.7824,4402.66,71.0813,0,0.000763307,104.028,0
5,0,0,0,0,0,0.070215,73.4433,0,7.3594,5892.45,0.99978,94.2831,112.736,72.9108,0.0434743,13.6986,99.6721,471.496,0.919808,37.7824,4399.41,70.8979,0,0.000763247,82.2497,0
5,0,0,0,0,0,0.070215,73.4433,0,7.3594,5892.45,0.99978,94.2831,112.736,72.9108,0.0434743,13.6986,99.6721,471.496,0.919808,37.7824,4399.41,70.8979,0,0.000763247,82.2497,0
6,0,0,0,0,0,0.070067,73.653,0,7.35924,5871.55,0.999736,94.6818,113.191,73.7208,0.0434743,13.6986,79.7233,471.496,0.927191,37.7823,4396.23,70.4914,0,0.000763228,65.9275,-2.05E-17
6,0,0,0,0,0,0.070067,73.653,0,7.35924,5871.55,0.999736,94.6818,113.191,73.7208,0.0434743,13.6986,79.7233,471.496,0.927191,37.7823,4396.23,70.4914,0,0.000763228,65.9275,-2.05E-17
7,0,0,0,0,0,0.0701549,73.5983,0,7.35958,5841.04,0.999692,94.744,113.229,73.9572,0.0434743,13.6986,136.973,471.496,0.932737,37.7823,4393,70.2585,0,0.000763185,119.56,0
7,0,0,0,0,0,0.0701549,73.5983,0,7.35958,5841.04,0.999692,94.744,113.229,73.9572,0.0434743,13.6986,136.973,471.496,0.932737,37.7823,4393,70.2585,0,0.000763185,119.56,0
8,0,0,0,0,0,0.0702588,73.4863,0,7.35963,5821.88,0.999648,94.6664,113.116,73.9143,0.0435252,13.6986,142.499,471.643,0.935034,37.7823,4389.63,70.5325,0,0.000763051,119.886,0
8,0,0,0,0,0,0.0702588,73.4863,0,7.35963,5821.88,0.999648,94.6664,113.116,73.9143,0.0435252,13.6986,142.499,471.643,0.935034,37.7823,4389.63,70.5325,0,0.000763051,119.886,0
9,0,0,0,0,0,0.0703887,73.4702,0,7.35924,5811.66,0.999604,94.587,113.01,73.8633,0.0435252,13.6986,112.64,471.643,0.935884,37.7823,4386.33,70.5601,0,0.000762963,93.2973,2.05E-17
9,0,0,0,0,0,0.0703887,73.4702,0,7.35924,5811.66,0.999604,94.587,113.01,73.8633,0.0435252,13.6986,112.64,471.643,0.935884,37.7823,4386.33,70.5601,0,0.000762963,93.2973,2.05E-17
10,0,0,0,0,0,0.0705259,73.5204,0,7.35893,5807.34,0.99956,94.5135,112.916,73.818,0.0435252,13.6986,89.8575,471.643,0.935849,37.7822,4383.12,70.2743,0,0.000762932,74.0433,2.05E-17
10,0,0,0,0,0,0.0705259,73.5204,0,7.35893,5807.34,0.99956,94.5135,112.916,73.818,0.0435252,13.6986,89.8575,471.643,0.935849,37.7822,4383.12,70.2743,0,0.000762932,74.0433,2.05E-17
11,0,0,0,0,0,0.0707883,73.6061,0,7.35906,5798.69,0.999516,94.3711,112.734,73.7253,0.0435252,13.6986,90.0567,471.643,0.935832,37.7821,4379.98,69.7776,0,0.000762941,78.7958,0
11,0,0,0,0,0,0.0707883,73.6061,0,7.35906,5798.69,0.999516,94.3711,112.734,73.7253,0.0435252,13.6986,90.0567,471.643,0.935832,37.7821,4379.98,69.7776,0,0.000762941,78.7958,0
12,0,0,0,0,0,0.0709249,73.6691,0,7.35935,5796.92,0.999472,94.3122,112.659,73.6875,0.0435403,13.6986,147.914,471.732,0.935542,37.7821,4376.67,69.8424,0,0.000762853,126.555,0
12,0,0,0,0,0,0.0709249,73.6691,0,7.35935,5796.92,0.999472,94.3122,112.659,73.6875,0.0435403,13.6986,147.914,471.732,0.935542,37.7821,4376.67,69.8424,0,0.000762853,126.555,0
