Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0668851,72.137,-1.$,7.43437,5796.77,0.999956,95.3914,113.578,74.361,0.0360218,15.7068,97.4905,499.179,0.947182,37.3,6436.2,72.8556,0,0.000806623,81.7749,0
1,0,0,0,0,0,0.0668851,72.137,-1.$,7.43437,5796.77,0.999956,95.3914,113.578,74.361,0.0360218,15.7068,97.4905,499.179,0.947182,37.3,6436.2,72.8556,0,0.000806623,81.7749,0
2,0,0,0,0,0,0.067513,71.5221,0,7.43454,5780.35,0.999912,94.5807,112.673,73.7299,0.0360012,15.7068,80.3836,502.528,0.94145,37.3001,6433.4,72.4482,0,0.000806658,67.0822,0
2,0,0,0,0,0,0.067513,71.5221,0,7.43454,5780.35,0.999912,94.5807,112.673,73.7299,0.0360012,15.7068,80.3836,502.528,0.94145,37.3001,6433.4,72.4482,0,0.000806658,67.0822,0
3,0,0,0,0,0,0.0681891,71.8561,0,7.43457,5808.76,0.999868,94.0772,112.122,73.5604,0.0360012,15.7068,119.178,502.528,0.931647,37.3002,6430.59,72.0391,0,0.000806687,107.496,0
3,0,0,0,0,0,0.0681891,71.8561,0,7.43457,5808.76,0.999868,94.0772,112.122,73.5604,0.0360012,15.7068,119.178,502.528,0.931647,37.3002,6430.59,72.0391,0,0.000806687,107.496,0
4,0,0,0,0,0,0.0684519,72.1969,0,7.43471,5828.61,0.999824,94.0043,112.094,73.5116,0.0360012,15.7068,145.5,502.528,0.92774,37.3003,6427.64,72.1568,0,0.00080665,126.72,0
4,0,0,0,0,0,0.0684519,72.1969,0,7.43471,5828.61,0.999824,94.0043,112.094,73.5116,0.0360012,15.7068,145.5,502.528,0.92774,37.3003,6427.64,72.1568,0,0.00080665,126.72,0
5,0,0,0,0,0,0.0686722,72.4192,0,7.43493,5840.35,0.99978,93.9553,112.074,73.48,0.0359483,15.7068,123.746,502.286,0.925396,37.3005,6424.72,72.229,0,0.000806611,104.441,0
5,0,0,0,0,0,0.0686722,72.4192,0,7.43493,5840.35,0.99978,93.9553,112.074,73.48,0.0359483,15.7068,123.746,502.286,0.925396,37.3005,6424.72,72.229,0,0.000806611,104.441,0
6,0,0,0,0,0,0.0688617,72.5668,0,7.43507,5847.93,0.999736,93.928,112.067,73.4617,0.0359483,15.7068,101.59,502.286,0.923944,37.3006,6421.86,72.0465,0,0.000806596,84.5956,-1.34E-17
