Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0666782,73.7727,-1.$,7.37271,5892.12,0.999956,95.4777,113.184,74.9354,0.0406147,16.3043,101.366,417.999,0.932518,37.4379,5330.73,72.5197,0,0.000806455,85.236,-1.61E-17
1,0,0,0,0,0,0.0666782,73.7727,-1.$,7.37271,5892.12,0.999956,95.4777,113.184,74.9354,0.0406147,16.3043,101.366,417.999,0.932518,37.4379,5330.73,72.5197,0,0.000806455,85.236,-1.61E-17
2,0,0,0,0,0,0.0676775,72.199,0,7.37268,5789,0.999912,94.1937,112.439,73.937,0.0406147,16.3043,83.2675,417.999,0.935842,37.4379,5328.01,72.133,0,0.000806495,69.682,-1.61E-17
2,0,0,0,0,0,0.0676775,72.199,0,7.37268,5789,0.999912,94.1937,112.439,73.937,0.0406147,16.3043,83.2675,417.999,0.935842,37.4379,5328.01,72.133,0,0.000806495,69.682,-1.61E-17
3,0,0,0,0,0,0.0683064,72.4291,0,7.37278,5814.49,0.999868,93.6615,111.86,73.1782,0.0406184,16.3043,98.6843,418.024,0.926281,37.4379,5325.32,71.6131,0,0.000806547,88.8609,-1.61E-17
3,0,0,0,0,0,0.0683064,72.4291,0,7.37278,5814.49,0.999868,93.6615,111.86,73.1782,0.0406184,16.3043,98.6843,418.024,0.926281,37.4379,5325.32,71.6131,0,0.000806547,88.8609,-1.61E-17
4,0,0,0,0,0,0.0685531,72.7647,0,7.37266,5835.25,0.999824,93.5951,111.853,73.1299,0.0406184,16.3043,144.822,418.024,0.922337,37.438,5322.49,71.6259,0,0.000806519,126.787,0
4,0,0,0,0,0,0.0685531,72.7647,0,7.37266,5835.25,0.999824,93.5951,111.853,73.1299,0.0406184,16.3043,144.822,418.024,0.922337,37.438,5322.49,71.6259,0,0.000806519,126.787,0
5,0,0,0,0,0,0.0687553,73.025,0,7.37257,5851.57,0.99978,93.5624,111.874,73.1109,0.0406184,16.3043,129.163,418.024,0.919467,37.4381,5319.65,71.7304,0,0.000806469,109.549,0
5,0,0,0,0,0,0.0687553,73.025,0,7.37257,5851.57,0.99978,93.5624,111.874,73.1109,0.0406184,16.3043,129.163,418.024,0.919467,37.4381,5319.65,71.7304,0,0.000806469,109.549,0
6,0,0,0,0,0,0.0689007,73.1586,0,7.37263,5861.51,0.999736,93.5548,111.898,73.0975,0.0406184,16.3043,105.739,418.024,0.917873,37.4381,5316.87,71.5895,0,0.000806448,88.4029,0
6,0,0,0,0,0,0.0689007,73.1586,0,7.37263,5861.51,0.999736,93.5548,111.898,73.0975,0.0406184,16.3043,105.739,418.024,0.917873,37.4381,5316.87,71.5895,0,0.000806448,88.4029,0
7,0,0,0,0,0,0.0686123,73.2186,0,7.37271,5867.81,0.999692,94.0555,111.932,73.1,0.0406446,16.3043,85.3957,418.053,0.922037,37.4381,5314.13,71.2932,0,0.000806448,71.0881,0
7,0,0,0,0,0,0.0686123,73.2186,0,7.37271,5867.81,0.999692,94.0555,111.932,73.1,0.0406446,16.3043,85.3957,418.053,0.922037,37.4381,5314.13,71.2932,0,0.000806448,71.0881,0
8,0,0,0,0,0,0.0683381,73.2879,0,7.37255,5820.06,0.999648,94.5991,112.542,74.1779,0.0406446,16.3043,110.368,418.053,0.935244,37.4381,5311.41,70.9367,0,0.000806465,99.3354,0
8,0,0,0,0,0,0.0683381,73.2879,0,7.37255,5820.06,0.999648,94.5991,112.542,74.1779,0.0406446,16.3043,110.368,418.053,0.935244,37.4381,5311.41,70.9367,0,0.000806465,99.3354,0
9,0,0,0,0,0,0.0687191,73.1264,0,7.37245,5800.92,0.999604,94.1044,112.481,74.1057,0.0406446,16.3043,145.045,418.053,0.933241,37.4382,5308.56,71.095,0,0.000806418,126.467,-3.23E-17
9,0,0,0,0,0,0.0687191,73.1264,0,7.37245,5800.92,0.999604,94.1044,112.481,74.1057,0.0406446,16.3043,145.045,418.053,0.933241,37.4382,5308.56,71.095,0,0.000806418,126.467,-3.23E-17
10,0,0,0,0,0,0.0690592,72.9573,0,7.37254,5820.56,0.99956,93.6547,111.926,73.3511,0.0406446,16.3043,125.908,418.053,0.92549,37.4382,5305.73,71.2115,0,0.000806378,106.46,0
10,0,0,0,0,0,0.0690592,72.9573,0,7.37254,5820.56,0.99956,93.6547,111.926,73.3511,0.0406446,16.3043,125.908,418.053,0.92549,37.4382,5305.73,71.2115,0,0.000806378,106.46,0
11,0,0,0,0,0,0.0692159,72.885,0,7.37254,5822.7,0.999516,93.5112,111.741,73.1071,0.0406528,16.3043,103.121,418.076,0.923704,37.4382,5302.96,71.0567,0,0.000806373,86.0139,-1.61E-17
11,0,0,0,0,0,0.0692159,72.885,0,7.37254,5822.7,0.999516,93.5112,111.741,73.1071,0.0406528,16.3043,103.121,418.076,0.923704,37.4382,5302.96,71.0567,0,0.000806373,86.0139,-1.61E-17
12,0,0,0,0,0,0.0693601,73.0645,0,7.37236,5835.29,0.999472,93.4732,111.74,73.0686,0.0406528,16.3043,84.9117,418.076,0.921355,37.4381,5300.25,70.6857,0,0.000806398,70.5648,0
12,0,0,0,0,0,0.0693601,73.0645,0,7.37236,5835.29,0.999472,93.4732,111.74,73.0686,0.0406528,16.3043,84.9117,418.076,0.921355,37.4381,5300.25,70.6857,0,0.000806398,70.5648,0
13,0,0,0,0,0,0.068843,73.3412,0,7.37232,5815.93,0.999428,94.348,112.242,73.8799,0.0406528,16.3043,110.451,418.076,0.93349,37.438,5297.54,70.3126,0,0.000806431,99.2071,0
