Time(s),totalFluid_mL,bagVolume_mL,bagVolumeBlood_mL,bagVolumePlasma_mL,bagVolumePlatelet_mL,CTSresistance,HeartRate(1/min),Vasopressin-PlasmaConcentration,ArterialBloodPH,CardiacOutput(mL/min),InflammatoryResponse-TissueIntegrity,MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),EndTidalCarbonDioxideFraction,RespirationRate(1/min),GlomerularFiltrationRate(mL/min),TidalVolume(mL),SystemicVascularResistance(mmHg_s/mL),StrongIonDifference(mmol/L),BloodVolume(mL),MeanUrineOutput(mL/hr),PainVisualAnalogueScale,VenaCava-Lactate-Molarity(mmol/mL),Aorta-OutFlow(mL/s),Lactate-Clearance-RenalClearance(mL/s_kg)
1,0,0,0,0,0,0.0677494,72.0729,-1.$,7.35623,5775.39,0.999956,94.3929,115.191,71.5668,0.041919,18.9873,93.55,385.578,0.939187,37.822,4017.71,68.6457,0,0.000761099,78.4815,-2.26E-17
1,0,0,0,0,0,0.0677494,72.0729,-1.$,7.35623,5775.39,0.999956,94.3929,115.191,71.5668,0.041919,18.9873,93.55,385.578,0.939187,37.822,4017.71,68.6457,0,0.000761099,78.4815,-2.26E-17
2,0,0,0,0,0,0.0684527,72.7932,0,7.35622,5847.59,0.999912,93.5083,114.508,70.7038,0.041919,18.9873,74.584,385.578,0.91854,37.8218,4014.92,68.1463,0,0.000761132,62.434,0
2,0,0,0,0,0,0.0684527,72.7932,0,7.35622,5847.59,0.999912,93.5083,114.508,70.7038,0.041919,18.9873,74.584,385.578,0.91854,37.8218,4014.92,68.1463,0,0.000761132,62.434,0
3,0,0,0,0,0,0.0691135,73.0164,0,7.35626,5877.86,0.999868,92.9343,113.886,70.3064,0.0419188,18.9873,123.459,385.584,0.90803,37.8217,4012.13,67.6793,0,0.000761151,110.58,0
3,0,0,0,0,0,0.0691135,73.0164,0,7.35626,5877.86,0.999868,92.9343,113.886,70.3064,0.0419188,18.9873,123.459,385.584,0.90803,37.8217,4012.13,67.6793,0,0.000761151,110.58,0
4,0,0,0,0,0,0.0688969,73.3701,0,7.356,5900.7,0.999824,93.4294,113.921,70.3431,0.0419188,18.9873,150.793,385.584,0.909584,37.8218,4009.15,67.9266,0,0.000761013,129.866,4.51E-17
4,0,0,0,0,0,0.0688969,73.3701,0,7.356,5900.7,0.999824,93.4294,113.921,70.3431,0.0419188,18.9873,150.793,385.584,0.909584,37.8218,4009.15,67.9266,0,0.000761013,129.866,4.51E-17
5,0,0,0,0,0,0.0687775,73.6158,0,7.35605,5875.32,0.99978,93.7747,114.365,71.1835,0.0419188,18.9873,117.163,385.584,0.91707,37.8218,4006.21,68.0659,0,0.000760886,98.5123,2.26E-17
5,0,0,0,0,0,0.0687775,73.6158,0,7.35605,5875.32,0.99978,93.7747,114.365,71.1835,0.0419188,18.9873,117.163,385.584,0.91707,37.8218,4006.21,68.0659,0,0.000760886,98.5123,2.26E-17
